ID,Centrality,Optimality,recon3_genes,Lewis2010_genes,VMH_gene_IDs,KEGG_genes,Name,Reaction,Node type
25VITD2HmNeuron,0.5193038424561789,5.22017925613705e-17,"1591, 1594","1594, 1591",NA,NA,1-alpha-Vitamin D-25-hydroxylase (D2) Neuron,25hvitd2[mN] + h[mN] + nadph[mN] + o2[mN] --> 1a25dhvitd2[mN] + h2o[mN] + nadp[mN],Neuron
25VITD3HmNeuron,0.519303883192032,5.22017925613705e-17,"1591, 1594","1594, 1591",NA,NA,1-alpha-Vitamin D-25-hydroxylase (D3) Neuron,25hvitd3[mN] + h[mN] + nadph[mN] + o2[mN] --> 1a25dhvitd3[mN] + h2o[mN] + nadp[mN],Neuron
2AMADPTmNeuron,0.007979806903264362,0,89874,89874,NA,NA,L-2-aminoadipate shuttle (cytosol/mitochondria) Neuron,L2aadp[cN] + akg[mN] <=> L2aadp[mN] + akg[cN],Neuron
2OXOADOXmNeuron,0.10265726452739832,1.5185976017853237e-15,"4967, 1738, 4967, 1743, 8050","8050, 1738, 4967, 1743",NA,NA,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria) Neuron,2oxoadp[mN] + coa[mN] + nad[mN] --> co2[mN] + glutcoa[mN] + nadh[mN],Neuron
2OXOADPTmNeuron,0.007447383597440421,0,89874,89874,NA,NA,2-oxoadipate shuttle (cytosol/mitochondria) Neuron,2oxoadp[cN] + akg[mN] <=> 2oxoadp[mN] + akg[cN],Neuron
2OXOADPTmNeuron,0.007447383597440421,0,89874,89874,NA,NA,2-oxoadipate shuttle (cytosol/mitochondria) Neuron,2oxoadp[cN] + akg[mN] <=> 2oxoadp[mN] + akg[cN],Neuron
34HPLFMNeuron,0.4693067141104773,2.3728087527895682e-17,,,NA,NA,3-(4-hydroxyphenyl-)lactate formation Neuron,34hpp[mN] + h[mN] + nadh[mN] --> 34hpl[mN] + nad[mN],Neuron
3AIBTmNeuron,0.0896788135246233,1.0039196743396377e-29,"18, 18, 64902",18,NA,NA,"L-3-aminoisobutyrate transaminase, mitochondrial Neuron",2mop[mN] + glu-L[mN] <=> 3aib[mN] + akg[mN],Neuron
3AIBtNeuron,0.013063855582134565,6.074390407141395e-16,NA,,NA,NA,3-amino-isobutyrate transport Neuron,3aib[cN] --> 3aib[I],Neuron
3AIBtmNeuron,0.034941925020354064,1.0039196743396377e-29,"18, 18, 64902",18,NA,NA,"3-amino-isobutyrate transport, mitochondrial Neuron",3aib[mN] --> 3aib[cN],Neuron
3DPHBH1Neuron,0.5418793862150878,1.0914920262832015e-16,,,NA,NA,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH) Neuron,3dphb[mN] + h[mN] + nadh[mN] + o2[mN] --> 3dpdhb[mN] + h2o[mN] + nad[mN],Neuron
3DPHBH2Neuron,0.5238886012213364,0.04231154086752685,,,NA,NA,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH) Neuron,3dphb[mN] + h[mN] + nadph[mN] + o2[mN] --> 3dpdhb[mN] + h2o[mN] + nadp[mN],Neuron
3HBCDmNeuron,0.14077031246018312,0,55268,55268,NA,NA,"3-hydroxybutyryl-CoA dehydratase, mitochondrial Neuron",b2coa[mN] + h2o[mN] <=> 3hbcoa-R[mN],Neuron
3HBCOAHLmNeuron,0.553642351959766,9.965796761717191e-17,,26275,NA,NA,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial Neuron",3hibutcoa[mN] + h2o[mN] --> 3hmp[mN] + coa[mN] + h[mN],Neuron
3SALAASPmNeuron,0.005440273835519049,0,"10165, 8604","10165, 8604",NA,NA,cysteinesulfinate-aspartate mitochondrial shuttle Neuron,3sala[mN] + asp-L[cN] <=> 3sala[cN] + asp-L[mN],Neuron
3SALATAimNeuron,0.4696423785854731,1.2813167265063668e-16,"2805, 2806",2806,NA,NA,"3-sulfino-alanine transaminase (irreversible), mitochondrial Neuron",3sala[mN] + akg[mN] + h[mN] --> 3snpyr[mN] + glu-L[mN],Neuron
3SALATAimNeuron,0.4696423785854731,1.2813167265063668e-16,2806,2806,NA,NA,"3-sulfino-alanine transaminase (irreversible), mitochondrial Neuron",3sala[mN] + akg[mN] + h[mN] --> 3snpyr[mN] + glu-L[mN],Neuron
3SPYRSPmNeuron,0.5173447084537863,9.965796761716188e-17,,,NA,NA,"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial Neuron",3snpyr[mN] + h2o[mN] --> h[mN] + pyr[mN] + so3[mN],Neuron
3SPYRSPmNeuron,0.5173447084537863,9.965796761716188e-17,,,NA,NA,"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial Neuron",3snpyr[mN] + h2o[mN] --> h[mN] + pyr[mN] + so3[mN],Neuron
4ABUTtmNeuron,0.005385143022083994,0,,,NA,NA,4-aminobutanoate mitochondrial transport via diffusion Neuron,4abut[cN] <=> 4abut[mN],Neuron
4HBZCOAFmNeuron,0.5589561533117153,9.965796761716188e-17,,,NA,NA,4-hydroxybenzoyl-CoA formation Neuron,coa[mN] + coucoa[mN] + h2o[mN] + nad[mN] --> 4hbzcoa[mN] + accoa[mN] + h[mN] + nadh[mN],Neuron
4HBZFmNeuron,0.5605178859736341,9.965796761716188e-17,,,NA,NA,4-hydroxybenzoate formation Neuron,4hbzcoa[mN] + h2o[mN] --> 4hbz[mN] + coa[mN] + h[mN],Neuron
4HGLSDmNeuron,0.5342544712922148,5.694741006694964e-17,"8659, 8659",8659,NA,NA,"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial Neuron",4hglusa[mN] + h2o[mN] + nad[mN] <=> e4hglu[mN] + 2.0 h[mN] + nadh[mN],Neuron
5AOPtmNeuron,0.008077452432478656,0,,,NA,NA,5-Aminolevulinate mitochondrial transport Neuron,5aop[cN] <=> 5aop[mN],Neuron
5AOPtmNeuron,0.008077452432478656,0,,,NA,NA,5-Aminolevulinate mitochondrial transport Neuron,5aop[cN] <=> 5aop[mN],Neuron
5HOXINDACTOXmNeuron,0.5317786162616632,9.491235011158273e-18,NA,"8659, 219, 217",NA,NA,5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito) Neuron,5hoxindact[mN] + h2o[mN] + nad[mN] --> 5hoxindoa[mN] + 2.0 h[mN] + nadh[mN],Neuron
5THFtmNeuron,0.03129607779315013,0,,,NA,NA,"5-glutamyl-THF transport,m mitochondrial Neuron",5thf[mN] --> 5thf[cN],Neuron
6DHFtmNeuron,0.03133293914371551,1.0630183212497266e-15,,,NA,NA,"6-glutamyl-DHF transport,m mitochondrial Neuron",6dhf[mN] --> 6dhf[cN],Neuron
6THFtmNeuron,0.03133282958440372,0,,,NA,NA,"6-glutamyl-THF transport,m mitochondrial Neuron",6thf[mN] --> 6thf[cN],Neuron
7DHFtmNeuron,0.04072785027970567,0,,,NA,NA,"7-glutamyl-DHF transport,m mitochondrial Neuron",7dhf[mN] --> 7dhf[cN],Neuron
7THFtmNeuron,0.04072785026545911,0,,,NA,NA,"7-glutamyl-THF transport,m mitochondrial Neuron",7thf[mN] --> 7thf[cN],Neuron
AACOATNeuron,0.04120492266128161,0.6265040045668268,65985,65985,NA,NA,Acetoacetyl-CoA:acetate CoA-transferase Neuron,acac[cN] + atp[cN] + coa[cN] --> aacoa[cN] + amp[cN] + ppi[cN],Neuron
AACTOORNeuron,0.035643637089844235,7.592988008926619e-17,8639,8639,NA,NA,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing) Neuron,aact[cN] + h2o[cN] + o2[cN] --> h2o2[cN] + mthgxl[cN] + nh4[cN],Neuron
AACTtmNeuron,0.007035331397680104,0,,,NA,NA,Aminoacetone transport (mitochondrial) Neuron,aact[mN] --> aact[cN],Neuron
AASAD3mNeuron,0.5324862602589612,2.847370503347482e-17,,60496,NA,NA,"L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial Neuron",L2aadp6sa[mN] + h2o[mN] + nad[mN] --> L2aadp[mN] + 2.0 h[mN] + nadh[mN],Neuron
AATAiNeuron,0.004035744034758925,0,"51166, 51166",51166,NA,NA,"2-aminoadipate transaminase, irreversible Neuron",L2aadp[cN] + akg[cN] --> 2oxoadp[cN] + glu-L[cN],Neuron
ABTArmNeuron,0.022243167454738286,0,"18, 18",18,NA,NA,"4-aminobutyrate transaminase, reversible (mitochondrial) Neuron",4abut[mN] + akg[mN] <=> glu-L[mN] + sucsal[mN],Neuron
ABUTt2rNeuron,0.13243575833219492,0,206358,206358,NA,NA,4-aminobutyrate reversible transport in via proton symport Neuron,4abut[I] + h[I] <=> 4abut[cN] + h[cN],Neuron
ACACT10mNeuron,0.01778466975222387,2.8416077817186307e-30,"38, 10449, 3032",38,NA,NA,"acetyl-CoA C-acetyltransferase, mitochondrial Neuron",2maacoa[mN] + coa[mN] <=> accoa[mN] + ppcoa[mN],Neuron
ACACT1rNeuron,0.021154040311480354,0,"38, 3032, 3030, 39",39,NA,NA,acetyl-CoA C-acetyltransferase Neuron,2.0 accoa[cN] <=> aacoa[cN] + coa[cN],Neuron
ACACT1rmNeuron,0.015242044429895562,0,"38, 3032, 3030","38, 3030, 3032",NA,NA,"acetyl-CoA C-acetyltransferase, mitochondrial Neuron",2.0 accoa[mN] <=> aacoa[mN] + coa[mN],Neuron
ACACT1rmNeuron,0.015242044429895562,0,"38, 3032, 3030, 39","38, 3030, 3032",NA,NA,"acetyl-CoA C-acetyltransferase, mitochondrial Neuron",2.0 accoa[mN] <=> aacoa[mN] + coa[mN],Neuron
ACACt2Neuron,0.13049598034434245,0.20164994065519187,"9194, 6566","6566, 9194",NA,NA,acetoacetate transport via proton symport Neuron,acac[I] + h[I] --> acac[cN] + h[cN],Neuron
ACACt2mNeuron,0.623813331161634,1.2338605514505756e-16,6566,6566,NA,NA,Acetoacetate mitochondrial transport via H+ symport Neuron,acac[cN] + h[cN] <=> acac[mN] + h[mN],Neuron
ACACt2mNeuron,0.623813331161634,1.2338605514505756e-16,"9194, 6566",6566,NA,NA,Acetoacetate mitochondrial transport via H+ symport Neuron,acac[cN] + h[cN] <=> acac[mN] + h[mN],Neuron
ACALDtNeuron,0.002035335689310971,0,,,NA,NA,acetaldehyde reversible transport Neuron,acald[I] <=> acald[cN],Neuron
ACALDtmNeuron,0.004786028663885058,0,,,NA,NA,acetaldehyde mitochondrial diffusion Neuron,acald[mN] <=> acald[cN],Neuron
ACALDtmNeuron,0.004786028663885058,0,,,NA,NA,acetaldehyde mitochondrial diffusion Neuron,acald[mN] <=> acald[cN],Neuron
ACCOALmNeuron,0.14963120123664345,3.0371952035706474e-16,"84532, 79611",84532,NA,NA,acetate-CoA ligase (AMP-forming) Neuron,atp[mN] + coa[mN] + ppa[mN] --> amp[mN] + ppcoa[mN] + ppi[mN],Neuron
ACCOALmNeuron,0.14963120123664345,3.0371952035706474e-16,"84532, 79611, 55902, 55902",84532,NA,NA,acetate-CoA ligase (AMP-forming) Neuron,atp[mN] + coa[mN] + ppa[mN] --> amp[mN] + ppcoa[mN] + ppi[mN],Neuron
ACOAD10mNeuron,0.0138660652800262,1.4047027816514273e-15,"34, 36","34, 36",NA,NA,"acyl-CoA dehydrogenase (2-methylbutanoyl-CoA), mitochondrial Neuron",2mbcoa[mN] + fad[mN] --> 2mb2coa[mN] + fadh2[mN],Neuron
ACOAD1fmNeuron,0.014354719024865644,0.04231154086752678,"34, 36, 35, 80724, 27034, 84129, 28976","34, 36, 28976, 80724, 27034",NA,NA,"acyl-CoA dehydrogenase (butanoyl-CoA), mitochondrial Neuron",btcoa[mN] + fad[mN] --> b2coa[mN] + fadh2[mN],Neuron
ACOAD8mNeuron,0.013518903160026508,0.3000741007317247,3712,3712,NA,NA,"acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial Neuron",fad[mN] + ivcoa[mN] --> 3mb2coa[mN] + fadh2[mN],Neuron
ACOAD9mNeuron,0.01386478422788594,1.0039196743396377e-29,"34, 27034","34, 27034",NA,NA,"acyl-CoA dehydrogenase (isobutyryl-CoA), mitochondrial Neuron",fad[mN] + ibcoa[mN] --> 2mp2coa[mN] + fadh2[mN],Neuron
ACONTmNeuron,0.007246896105409634,0.40833999354103945,"50, 48",50,NA,NA,Aconitate hydratase Neuron,cit[mN] <=> icit[mN],Neuron
ACONTmNeuron,0.007246896105409634,0.40833999354103945,"50, 48, 3658",50,NA,NA,Aconitate hydratase Neuron,cit[mN] <=> icit[mN],Neuron
ACRNtmNeuron,0.013453096546289154,0,788,788,NA,NA,O-acetylcarnintine transport into mitochondria via diffusion Neuron,acrn[cN] --> acrn[mN],Neuron
ACSmNeuron,0.06786449591600757,0.3716638157312585,"84532, 160728",84532,NA,NA,acetyl-CoA synthetase Neuron,ac[mN] + atp[mN] + coa[mN] --> accoa[mN] + amp[mN] + ppi[mN],Neuron
ACSmNeuron,0.06786449591600757,0.3716638157312585,"6818, 84532, 65985, 55902, 55902, 438, 160728",84532,NA,NA,acetyl-CoA synthetase Neuron,ac[mN] + atp[mN] + coa[mN] --> accoa[mN] + amp[mN] + ppi[mN],Neuron
ACt2mNeuron,0.6076942349989459,2.847370503347482e-17,6566,6566,NA,NA,acetate mitochondrial transport via proton symport Neuron,ac[cN] + h[cN] <=> ac[mN] + h[mN],Neuron
ADCimNeuron,0.4616741677393238,1.2813167265063668e-16,,,NA,NA,"Acetoacetate decarboxylation (irreversible), mitochondrial Neuron",acac[mN] + h[mN] --> acetone[mN] + co2[mN],Neuron
ADK1Neuron,0.01181853931925166,0.1506962774412709,"204, 205, 205, 204, 205, 204, 26289, 26289, 122481, 203","203, 26289",NA,NA,adenylate kinase Neuron,amp[cN] + atp[cN] --> 2.0 adp[cN],Neuron
ADK1mNeuron,0.03633948053267873,0,"204, 205, 205, 204, 205, 204","205, 204",NA,NA,"adenylate kinase, mitochondrial Neuron",amp[mN] + atp[mN] <=> 2.0 adp[mN],Neuron
ADK1mNeuron,0.03633948053267873,0,"204, 205, 205, 204, 205, 204, 26289, 26289, 122481, 203","205, 204",NA,NA,"adenylate kinase, mitochondrial Neuron",amp[mN] + atp[mN] <=> 2.0 adp[mN],Neuron
ADK3mNeuron,0.02757315503231874,0,"26289, 26289, 50808","205, 50808",NA,NA,adentylate kinase (GTP) Neuron,amp[mN] + gtp[mN] <=> adp[mN] + gdp[mN],Neuron
ADK3mNeuron,0.02757315503231874,0,50808,"205, 50808",NA,NA,adentylate kinase (GTP) Neuron,amp[mN] + gtp[mN] <=> adp[mN] + gdp[mN],Neuron
ADPRDPmNeuron,0.521557801003502,0.24683119087704655,11164,53343,NA,NA,ADPribose diphosphatase (mitochondrial) Neuron,adprib[mN] + h2o[mN] --> amp[mN] + 2.0 h[mN] + r5p[mN],Neuron
AGMTmNeuron,0.2286923002711218,0,79814,79814,NA,NA,agmatinase (m) Neuron,agm[mN] + h2o[mN] --> ptrc[mN] + urea[mN],Neuron
AGPRimNeuron,0.4781052826490323,1.423685251673741e-17,NA,5832,NA,NA,"N-acetyl-g-glutamyl-phosphate reductase, irreversible, mitochondrial Neuron",acg5p[mN] + h[mN] + nadph[mN] --> acg5sa[mN] + nadp[mN] + pi[mN],Neuron
AGTimNeuron,0.008449638907358389,0,"64902, 64850",64850,NA,NA,"alanine-glyoxylate transaminase (irreversible), mitochondrial Neuron",ala-L[mN] + glx[mN] --> gly[mN] + pyr[mN],Neuron
AKGDmNeuron,0.12154436398372824,0.40833999354103945,"4967, 1738, 4967, 1743, 8050","8050, 1738, 4967, 1743",NA,NA,2-oxoglutarate dehydrogenase Neuron,akg[mN] + coa[mN] + nad[mN] --> co2[mN] + nadh[mN] + succoa[mN],Neuron
AKGMALtmNeuron,0.009798638488280796,0.4083399935410398,"1468, 8402",8402,NA,NA,alpha-ketoglutarate/malate transporter Neuron,akg[mN] + mal-L[cN] <=> akg[cN] + mal-L[mN],Neuron
ALASmNeuron,0.5006867842934617,1.2813167265063668e-16,"212, 23464, 211, 211","23464, 211",NA,NA,5-aminolevulinate synthase Neuron,gly[mN] + h[mN] + succoa[mN] --> 5aop[mN] + co2[mN] + coa[mN],Neuron
ALCD2ifNeuron,0.06445582546834856,0.20143233217756468,"124, 126, 130, 127, 131, 128, 137872, 125, 284273, 284273","126, 124, 128, 284273, 137872",NA,NA,"alcohol dehydrogenase, forward rxn (ethanol -> acetaldehyde) Neuron",etoh[cN] + nad[cN] --> acald[cN] + h[cN] + nadh[cN],Neuron
ALCD2yfNeuron,0.0643971933376426,0.17590884836391987,"10327, 10327",10327,NA,NA,"alcohol dehydrogenase (ethanol, NADP), forward reaction Neuron",etoh[cN] + nadp[cN] --> acald[cN] + h[cN] + nadph[cN],Neuron
ALDD20xmNeuron,0.5317786162730642,9.491235011158273e-18,"8659, 8659, 8854, 8854, 501, 224, 223, 8854, 216, 219, 217","8659, 219, 217",NA,NA,"aldehyde dehydrogenase (indole-3-acetaldehyde, NAD), mitochondrial Neuron",h2o[mN] + id3acald[mN] + nad[mN] --> 2.0 h[mN] + ind3ac[mN] + nadh[mN],Neuron
ALDD20xmNeuron,0.5317786162730642,9.491235011158273e-18,"8659, 8659, 219, 217","8659, 219, 217",NA,NA,"aldehyde dehydrogenase (indole-3-acetaldehyde, NAD), mitochondrial Neuron",h2o[mN] + id3acald[mN] + nad[mN] --> 2.0 h[mN] + ind3ac[mN] + nadh[mN],Neuron
ALDD2xNeuron,0.081937793028258,0.04231154086752739,"221, 220, 218, 222, 8854, 8854, 501, 224, 223, 8854, 216, 219, 217","223, 224, 501, 8854, 220, 216",NA,NA,"aldehyde dehydrogenase (acetaldehyde, NAD) Neuron",acald[cN] + h2o[cN] + nad[cN] --> ac[cN] + 2.0 h[cN] + nadh[cN],Neuron
ALDD2xmNeuron,0.537108370224516,2.676528273146633e-15,"219, 217","219, 217",NA,NA,"aldehyde dehydrogenase (acetylaldehyde, NAD), mitochondrial Neuron",acald[mN] + h2o[mN] + nad[mN] --> ac[mN] + 2.0 h[mN] + nadh[mN],Neuron
ALDD2xmNeuron,0.537108370224516,2.676528273146633e-15,"221, 220, 218, 222, 8854, 8854, 501, 224, 223, 8854, 216, 219, 217","219, 217",NA,NA,"aldehyde dehydrogenase (acetylaldehyde, NAD), mitochondrial Neuron",acald[mN] + h2o[mN] + nad[mN] --> ac[mN] + 2.0 h[mN] + nadh[mN],Neuron
ALDD2yNeuron,0.08201171341083872,2.847370503347482e-17,"221, 218, 222, 8854, 8854, 224, 223, 8854, 219","223, 224, 8854",NA,NA,"aldehyde dehydrogenase (acetaldehyde, NADP) Neuron",acald[cN] + h2o[cN] + nadp[cN] --> ac[cN] + 2.0 h[cN] + nadph[cN],Neuron
ALRNeuron,0.08220039761668,0.19995746017621074,NA,231,NA,NA,Aldose reductase Neuron,h2o[cN] + mthgxl[cN] + nadp[cN] --> 2.0 h[cN] + nadph[cN] + pyr[cN],Neuron
AMETt2mNeuron,0.04769645011247784,0,"115286, 115286, 115286",115286,NA,NA,"S-Adenosyl-L-methionine reversible transport, mitochondrial Neuron",ahcys[mN] + amet[cN] <=> ahcys[cN] + amet[mN],Neuron
AMETt2mNeuron,0.04769645011247784,0,"115286, 115286, 115286",115286,NA,NA,"S-Adenosyl-L-methionine reversible transport, mitochondrial Neuron",ahcys[mN] + amet[cN] <=> ahcys[cN] + amet[mN],Neuron
AOBUTDsmNeuron,0.4680956455146336,2.3728087527895682e-17,,,NA,NA,"L-2-amino-3-oxobutanoate decarboxylation, mitochondrial  (spontaneous) Neuron",2aobut[mN] + h[mN] --> aact[mN] + co2[mN],Neuron
APAT2rmNeuron,0.019072320690906714,0,"18, 18",18,NA,NA,3-Aminopropanoate:2-oxoglutarate aminotransferase (m) Neuron,akg[mN] + ala-B[mN] <=> glu-L[mN] + msa[mN],Neuron
APOCLYSBTNPmNeuron,0.14044132244051127,3.7964940044633093e-17,,,NA,NA,"proteolysis of apoC-Lys-btn, mitochondrial Neuron",apoC-Lys_btn[mN] + h2o[mN] --> apoC[mN] + biocyt[mN],Neuron
APOCLYSBTNPmNeuron,0.14044132244051127,3.7964940044633093e-17,,,NA,NA,"proteolysis of apoC-Lys-btn, mitochondrial Neuron",apoC-Lys_btn[mN] + h2o[mN] --> apoC[mN] + biocyt[mN],Neuron
APOCFmNeuron,0.5213388954451961,0.24683119087704608,,,NA,NA,"Apocarboxylase formation, mitochondrial Neuron",apoC[mN] + lys-L[mN] --> apoC-Lys[mN] + h2o[mN] + h[mN],Neuron
APOCFmNeuron,0.5213388954451961,0.24683119087704608,,,NA,NA,"Apocarboxylase formation, mitochondrial Neuron",apoC[mN] + lys-L[mN] --> apoC-Lys[mN] + h2o[mN] + h[mN],Neuron
ARGDCmNeuron,0.4656579939304202,4.17614340490964e-16,113451,113451,NA,NA,arginine decarboxylase (m) Neuron,arg-L[mN] + h[mN] --> agm[mN] + co2[mN],Neuron
ARGtiDFNeuron,0.005084391608606747,0,NA,"6541, 84889",NA,NA,L-arginine transport via diffusion (extracellular to cytosol) Neuron,arg-L[I] --> arg-L[cN],Neuron
ARGtmNeuron,0.6095809644177809,9.0166732606003594e-17,"83884, 10166",83884,NA,NA,arginine mitochondrial transport via ornithine carrier Neuron,arg-L[cN] + h[mN] <=> arg-L[mN] + h[cN],Neuron
ASNNmNeuron,0.1502802315359996,7.592988008926619e-17,80150,80150,NA,NA,L-asparaginase (mitochondrial) Neuron,asn-L[mN] + h2o[mN] --> asp-L[mN] + nh4[mN],Neuron
ASNt4Neuron,0.00879809952410012,0.16135807451028,"11254, 57393, 59272, 54407, 340024, 81539, 55089","11254, 81539, 54407",NA,NA,L-asparagine transport in via sodium symport Neuron,asn-L[I] + na1[I] --> asn-L[cN] + na1[cN],Neuron
ASNtmNeuron,0.006550699332453666,0,,,NA,NA,"L-asparagine transport, mitochondrial Neuron",asn-L[cN] --> asn-L[mN],Neuron
ASPGLUmNeuron,0.6341770510986168,0.40833999354103706,"10165, 8604","10165, 8604",NA,NA,aspartate-glutamate mitochondrial shuttle Neuron,asp-L[mN] + glu-L[cN] + h[cN] --> asp-L[cN] + glu-L[mN] + h[mN],Neuron
ASPNATmNeuron,0.5723899265202667,1.2813167265063668e-16,,,NA,NA,"aspartate N-acetyltransferase, mitochondrial Neuron",accoa[mN] + asp-L[mN] --> Nacasp[mN] + coa[mN] + h[mN],Neuron
ASPTANeuron,0.004445483848472197,0.4083399935410369,"2805, 2806",2805,NA,NA,aspartate transaminase Neuron,akg[cN] + asp-L[cN] <=> glu-L[cN] + oaa[cN],Neuron
ASPTAmNeuron,0.02317055516790652,0.4083399935410369,2806,2806,NA,NA,aspartate transaminase Neuron,akg[mN] + asp-L[mN] <=> glu-L[mN] + oaa[mN],Neuron
ASPTAmNeuron,0.02317055516790652,0.4083399935410369,"2805, 2806",2806,NA,NA,aspartate transaminase Neuron,akg[mN] + asp-L[mN] <=> glu-L[mN] + oaa[mN],Neuron
ATPtmNeuron,0.04990351094063163,0.8581238802303919,"292, 291, 293","292, 291, 293",NA,NA,"ADP/ATP transporter, mitochondrial Neuron",adp[cN] + atp[mN] --> adp[mN] + atp[cN],Neuron
BACCLmNeuron,0.4845533197422776,2.3728087527895683e-18,3141,3141,NA,NA,"biotin-[acetyl-CoA-carboxylase] ligase, mitochondrial Neuron",atp[mN] + btn[mN] + h[mN] --> btamp[mN] + ppi[mN],Neuron
