,rxn_ids,rxn_names,reactions,rxn_bounds,rxn_subsystems
26,EX_crn(e),L-Carnitine exchange,crn[e] --> ,"(0.0, 0.0)",
27,EX_cyan(e),Hydrogen cyanide exchange,cyan[e] <=> ,"(-1000.0, 1000.0)",
28,EX_cys-L(e),L-Cysteine exchange,cys-L[e] --> ,"(0.0, 0.0)",[]
29,EX_duri(e),Deoxyuridine exchange,duri[e] --> ,"(0.0, 0.0)",
30,EX_etoh(e),Ethanol exchange,etoh[e] --> ,"(0.0, 0.0)",
31,EX_fe2(e),Fe2+ exchange,fe2[e] <=> ,"(-1000.0, 1000.0)",
32,EX_glc(e),D-Glucose exchange,glc-D[e] <-- ,"(-1000.0, 0.0)",
33,EX_gln-L(e),L-Glutamine exchange,gln-L[e] --> ,"(0.0, 0.0)",[]
34,EX_glu-L(e),L-Glutamate exchange,glu-L[e] --> ,"(0.0, 0.0)",[]
35,EX_gly(e),Glycine exchange,gly[e] --> ,"(0.0, 1000.0)",
36,EX_glyc(e),Glycerol exchange,glyc[e] --> ,"(0.0, 0.0)",
37,EX_h(e),H+ exchange,h[e] <=> ,"(-1000.0, 1000.0)",
38,EX_h2o(e),H2O exchange,h2o[e] <=> ,"(-1000.0, 1000.0)",
39,EX_h2o2(e),Hydrogen peroxide exchange,h2o2[e] --> ,"(0.0, 0.0)",
40,EX_hco3(e),Bicarbonate exchange,hco3[e] <=> ,"(-1000.0, 1000.0)",
41,EX_ile-L(e),L-Isoleucine exchange,ile-L[e] --> ,"(0.0, 0.0)",[]
42,EX_k(e),K+ exchange,k[e] <=> ,"(-1000.0, 1000.0)",
43,EX_lac-D(e),D-lactate exchange,lac-D[e] --> ,"(0.0, 0.0)",[]
44,EX_lac-L(e),L-Lactate exchange,lac-L[e] --> ,"(0.0, 0.0)",[]
45,EX_leu-L(e),L-Leucine exchange,leu-L[e] --> ,"(0.0, 0.0)",[]
46,EX_lys-L(e),L-Lysine exchange,lys-L[e] --> ,"(0.0, 0.0)",[]
47,EX_na1(e),Sodium exchange,na1[e] <=> ,"(-1000.0, 1000.0)",
48,EX_nh4(e),Ammonia exchange,nh4[e] <-- ,"(-1000.0, 0.0)",
49,EX_o2(e),O2 exchange,o2[e] <-- ,"(-1000.0, 0.0)",
50,EX_o2s(e),Superoxide anion exchange,o2s[e] --> ,"(0.0, 0.0)",
51,EX_orn(e),Ornithine exchange,orn[e] --> ,"(0.0, 0.0)",
52,EX_pe_hs(e),phosphatidylethanolamine (homo sapiens) exchange,pe_hs[e] --> ,"(0.0, 0.0)",
53,EX_pi(e),Phosphate exchange,pi[e] <=> ,"(-1000.0, 1000.0)",
54,EX_ppa(e),Propionate exchange,ppa[e] --> ,"(0.0, 0.0)",
55,EX_pro-L(e),L-Proline exchange,pro-L[e] --> ,"(0.0, 0.0)",[]
56,EX_ps_hs(e),phosphatidylserine (homo sapiens) exchange,ps_hs[e] --> ,"(0.0, 0.0)",
57,EX_pyr(e),Pyruvate exchange,pyr[e] --> ,"(0.0, 0.0)",
58,EX_sarcs(e),Sarcosine exchange,sarcs[e] --> ,"(0.0, 0.0)",
59,EX_ser-L(e),L-Serine exchange,ser-L[e] --> ,"(0.0, 0.0)",[]
60,EX_so4(e),Sulfate exchange,so4[e] <=> ,"(-1000.0, 1000.0)",
61,EX_tcynt(e),Thiocyanate exchange,tcynt[e] <=> ,"(-1000.0, 1000.0)",
62,EX_thymd(e),Thymidine exchange,thymd[e] --> ,"(0.0, 0.0)",
63,EX_urea(e),Urea exchange,urea[e] <=> ,"(-1000.0, 1000.0)",
64,EX_uri(e),Uridine exchange,uri[e] --> ,"(0.0, 0.0)",
65,EX_val-L(e),L-Valine exchange,val-L[e] --> ,"(0.0, 0.0)",[]
66,sink_4hpro-LT(m),sink_4hpro-LT(m) Astrocyte,4hpro-LT[mA] --> ,"(0.0, 0.0)",[]
67,sink_amet,sink_amet Astrocyte,amet[cA] --> ,"(0.0, 0.0)",[]
68,sink_decdp,all trans Decaprenyl diphosphate sink Astrocyte,decdp[cA] --> ,"(0.0, 0.0)",[]
69,sink_dhf(c),sink_dhf(c) Astrocyte,dhf[cA] --> ,"(0.0, 0.0)",[]
70,sink_dmgly,"N,N-Dimethylglycine sink Astrocyte",dmgly[cA] --> ,"(0.0, 0.0)",[]
71,sink_tyr-L(m),sink_tyr-L(m) Astrocyte,tyr-L[mA] --> ,"(0.0, 0.0)",[]
72,10FTHF5GLUtm,"5-glutamyl-10FTHF transport, mitochondrial Astrocyte",10fthf5glu[mA] --> 10fthf5glu[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
73,10FTHF6GLUtm,"6-glutamyl-10FTHF transport, mitochondrial Astrocyte",10fthf6glu[mA] --> 10fthf6glu[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
74,10FTHF7GLUtm,"7-glutamyl-10FTHF transport, mitochondrial Astrocyte",10fthf7glu[mA] --> 10fthf7glu[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
75,10FTHFtm,10-Formyltetrahydrofolate mitochondrial transport via diffusion Astrocyte,10fthf[cA] <=> 10fthf[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
76,"1a,24,25VITD2Hm","1-alpha-Vitamin D-24,25-hydroxylase (D2) Astrocyte",2425dhvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd2[mA] + h2o[mA] + nadp[mA],"(0.0, 1000.0)",Vitamin D
77,"1a,24,25VITD3Hm","1-alpha-Vitamin D-24,25-hydroxylase (D3) Astrocyte",2425dhvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd3[mA] + h2o[mA] + nadp[mA],"(0.0, 1000.0)",Vitamin D
78,"1a,25VITD2Hm","1-alpha,24R,25-Vitamin D-hydroxylase (D2) Astrocyte",1a25dhvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd2[mA] + h2o[mA] + nadp[mA],"(0.0, 1000.0)",Vitamin D
79,"1a,25VITD3Hm","1-alpha,24R,25-Vitamin D-hydroxylase (D3) Astrocyte",1a25dhvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd3[mA] + h2o[mA] + nadp[mA],"(0.0, 1000.0)",Vitamin D
80,"24,25VITD2Hm",24R-Vitamin D-25-hydroxylase (D2) Astrocyte,25hvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 2425dhvitd2[mA] + h2o[mA] + nadp[mA],"(0.0, 1000.0)",Vitamin D
81,"24,25VITD3Hm",24R-Vitamin D-25-hydroxylase (D3) Astrocyte,25hvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 2425dhvitd3[mA] + h2o[mA] + nadp[mA],"(0.0, 1000.0)",Vitamin D
82,25HVITD2t,25-hydroxyvitamin D2 transport from cytoplasm Astrocyte,25hvitd2[cA] --> 25hvitd2[e],"(0.0, 1000.0)","Transport, Extracellular"
83,25HVITD2tin,25-hydroxyvitamin D2 transport in cytoplasm Astrocyte,25hvitd2[e] --> 25hvitd2[cA],"(0.0, 1000.0)","Transport, Extracellular"
84,25HVITD2tin_m,25-hydroxyvitamin D2 transport in mitochondria Astrocyte,25hvitd2[cA] --> 25hvitd2[mA],"(0.0, 1000.0)","Transport, Mitochondrial"
85,25HVITD2tm,25-hydroxyvitamin D2 transport from mitochondria Astrocyte,25hvitd2[mA] --> 25hvitd2[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
86,25HVITD3t,25-hydroxyvitamin D3 transport from cytoplasm Astrocyte,25hvitd3[cA] --> 25hvitd3[e],"(0.0, 1000.0)","Transport, Extracellular"
87,25HVITD3tin,25-hydroxyvitamin D3 transport in cytoplasm Astrocyte,25hvitd3[e] --> 25hvitd3[cA],"(0.0, 1000.0)","Transport, Extracellular"
88,25HVITD3tin_m,25-hydroxyvitamin D3 transport in mitochondria Astrocyte,25hvitd3[cA] --> 25hvitd3[mA],"(0.0, 1000.0)","Transport, Mitochondrial"
89,25HVITD3tm,25-hydroxyvitamin D3 transport from mitochondria Astrocyte,25hvitd3[mA] --> 25hvitd3[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
90,25VITD2Hm,1-alpha-Vitamin D-25-hydroxylase (D2) Astrocyte,25hvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a25dhvitd2[mA] + h2o[mA] + nadp[mA],"(0.0, 1000.0)",Vitamin D
91,25VITD3Hm,1-alpha-Vitamin D-25-hydroxylase (D3) Astrocyte,25hvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a25dhvitd3[mA] + h2o[mA] + nadp[mA],"(0.0, 1000.0)",Vitamin D
92,2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria) Astrocyte,L2aadp[cA] + akg[mA] <=> L2aadp[mA] + akg[cA],"(-1000.0, 1000.0)",Lysine Metabolism
93,2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria) Astrocyte,2oxoadp[mA] + coa[mA] + nad[mA] --> co2[mA] + glutcoa[mA] + nadh[mA],"(0.0, 1000.0)",Lysine Metabolism
94,2OXOADPTm,2-oxoadipate shuttle (cytosol/mitochondria) Astrocyte,2oxoadp[cA] + akg[mA] <=> 2oxoadp[mA] + akg[cA],"(-1000.0, 1000.0)",Tryptophan metabolism
95,34HPLFM,3-(4-hydroxyphenyl-)lactate formation Astrocyte,34hpp[mA] + h[mA] + nadh[mA] --> 34hpl[mA] + nad[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
96,3AIBTm,"L-3-aminoisobutyrate transaminase, mitochondrial Astrocyte",2mop[mA] + glu-L[mA] <=> 3aib[mA] + akg[mA],"(-1000.0, 1000.0)","Valine, Leucine, and Isoleucine Metabolism"
97,3AIBt,3-amino-isobutyrate transport Astrocyte,3aib[cA] --> 3aib[e],"(0.0, 1000.0)","Transport, Extracellular"
98,3AIBtm,"3-amino-isobutyrate transport, mitochondrial Astrocyte",3aib[mA] --> 3aib[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
99,3DPHBH1,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH) Astrocyte,3dphb[mA] + h[mA] + nadh[mA] + o2[mA] --> 3dpdhb[mA] + h2o[mA] + nad[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
100,3DPHBH2,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH) Astrocyte,3dphb[mA] + h[mA] + nadph[mA] + o2[mA] --> 3dpdhb[mA] + h2o[mA] + nadp[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
101,3HBCDm,"3-hydroxybutyryl-CoA dehydratase, mitochondrial Astrocyte",b2coa[mA] + h2o[mA] <=> 3hbcoa-R[mA],"(-1000.0, 1000.0)",Butanoate Metabolism
102,3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial Astrocyte",3hibutcoa[mA] + h2o[mA] --> 3hmp[mA] + coa[mA] + h[mA],"(0.0, 1000.0)","Valine, Leucine, and Isoleucine Metabolism"
103,3SALAASPm,cysteinesulfinate-aspartate mitochondrial shuttle Astrocyte,3sala[mA] + asp-L[cA] <=> 3sala[cA] + asp-L[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
104,3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial Astrocyte",3sala[mA] + akg[mA] + h[mA] --> 3snpyr[mA] + glu-L[mA],"(0.0, 1000.0)",Cysteine Metabolism
105,3SPYRSPm,"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial Astrocyte",3snpyr[mA] + h2o[mA] --> h[mA] + pyr[mA] + so3[mA],"(0.0, 1000.0)",Cysteine Metabolism
106,4ABUTtm,4-aminobutanoate mitochondrial transport via diffusion Astrocyte,4abut[cA] <=> 4abut[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
107,4HBZCOAFm,4-hydroxybenzoyl-CoA formation Astrocyte,coa[mA] + coucoa[mA] + h2o[mA] + nad[mA] --> 4hbzcoa[mA] + accoa[mA] + h[mA] + nadh[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
108,4HBZFm,4-hydroxybenzoate formation Astrocyte,4hbzcoa[mA] + h2o[mA] --> 4hbz[mA] + coa[mA] + h[mA],"(0.0, 1000.0)",Ubiquinone Biosynthesis
109,4HGLSDm,"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial Astrocyte",4hglusa[mA] + h2o[mA] + nad[mA] <=> e4hglu[mA] + 2.0 h[mA] + nadh[mA],"(-1000.0, 1000.0)",Arginine and Proline Metabolism
110,5AOPtm,5-Aminolevulinate mitochondrial transport Astrocyte,5aop[cA] <=> 5aop[mA],"(-1000.0, 1000.0)",Heme Biosynthesis
111,5HOXINDACTOXm,5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito) Astrocyte,5hoxindact[mA] + h2o[mA] + nad[mA] --> 5hoxindoa[mA] + 2.0 h[mA] + nadh[mA],"(0.0, 1000.0)",Tryptophan metabolism
112,5THFtm,"5-glutamyl-THF transport,m mitochondrial Astrocyte",5thf[mA] --> 5thf[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
113,6DHFtm,"6-glutamyl-DHF transport,m mitochondrial Astrocyte",6dhf[mA] --> 6dhf[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
114,6THFtm,"6-glutamyl-THF transport,m mitochondrial Astrocyte",6thf[mA] --> 6thf[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
115,7DHFtm,"7-glutamyl-DHF transport,m mitochondrial Astrocyte",7dhf[mA] --> 7dhf[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
116,7THFtm,"7-glutamyl-THF transport,m mitochondrial Astrocyte",7thf[mA] --> 7thf[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
117,AACOAT,Acetoacetyl-CoA:acetate CoA-transferase Astrocyte,acac[cA] + atp[cA] + coa[cA] <=> aacoa[cA] + amp[cA] + ppi[cA],"(-1000.0, 1000.0)",Propanoate Metabolism
118,AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing) Astrocyte,aact[cA] + h2o[cA] + o2[cA] --> h2o2[cA] + mthgxl[cA] + nh4[cA],"(0.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
119,AACTtm,Aminoacetone transport (mitochondrial) Astrocyte,aact[mA] --> aact[cA],"(0.0, 1000.0)","Transport, Mitochondrial"
120,AASAD3m,"L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial Astrocyte",L2aadp6sa[mA] + h2o[mA] + nad[mA] --> L2aadp[mA] + 2.0 h[mA] + nadh[mA],"(0.0, 1000.0)",Lysine Metabolism
121,AATAi,"2-aminoadipate transaminase, irreversible Astrocyte",L2aadp[cA] + akg[cA] --> 2oxoadp[cA] + glu-L[cA],"(0.0, 1000.0)",Lysine Metabolism
122,ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial) Astrocyte",4abut[mA] + akg[mA] <=> glu-L[mA] + sucsal[mA],"(-1000.0, 1000.0)",Glutamate metabolism
123,ABUTt2r,4-aminobutyrate reversible transport in via proton symport Astrocyte,4abut[e] + h[e] <=> 4abut[cA] + h[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
124,ACACT10m,"acetyl-CoA C-acetyltransferase, mitochondrial Astrocyte",2maacoa[mA] + coa[mA] <=> accoa[mA] + ppcoa[mA],"(-1000.0, 1000.0)","Valine, Leucine, and Isoleucine Metabolism"
125,ACACT1r,acetyl-CoA C-acetyltransferase Astrocyte,2.0 accoa[cA] <=> aacoa[cA] + coa[cA],"(-1000.0, 1000.0)",Tryptophan metabolism
126,ACACT1rm,"acetyl-CoA C-acetyltransferase, mitochondrial Astrocyte",2.0 accoa[mA] <=> aacoa[mA] + coa[mA],"(-1000.0, 1000.0)",Tryptophan metabolism
127,ACACt2,acetoacetate transport via proton symport Astrocyte,acac[e] + h[e] <=> acac[cA] + h[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
128,ACACt2m,Acetoacetate mitochondrial transport via H+ symport Astrocyte,acac[cA] + h[cA] <=> acac[mA] + h[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
129,ACALDt,acetaldehyde reversible transport Astrocyte,acald[e] <=> acald[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
130,ACALDtm,acetaldehyde mitochondrial diffusion Astrocyte,acald[mA] <=> acald[cA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
131,ACCOALm,acetate-CoA ligase (AMP-forming) Astrocyte,atp[mA] + coa[mA] + ppa[mA] --> amp[mA] + ppcoa[mA] + ppi[mA],"(0.0, 1000.0)",Propanoate Metabolism
132,ACOAD10m,"acyl-CoA dehydrogenase (2-methylbutanoyl-CoA), mitochondrial Astrocyte",2mbcoa[mA] + fad[mA] --> 2mb2coa[mA] + fadh2[mA],"(0.0, 1000.0)","Valine, Leucine, and Isoleucine Metabolism"
133,ACOAD1fm,"acyl-CoA dehydrogenase (butanoyl-CoA), mitochondrial Astrocyte",btcoa[mA] + fad[mA] --> b2coa[mA] + fadh2[mA],"(0.0, 1000.0)",Butanoate Metabolism
134,ACOAD8m,"acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial Astrocyte",fad[mA] + ivcoa[mA] --> 3mb2coa[mA] + fadh2[mA],"(0.0, 1000.0)","Valine, Leucine, and Isoleucine Metabolism"
135,ACOAD9m,"acyl-CoA dehydrogenase (isobutyryl-CoA), mitochondrial Astrocyte",fad[mA] + ibcoa[mA] --> 2mp2coa[mA] + fadh2[mA],"(0.0, 1000.0)","Valine, Leucine, and Isoleucine Metabolism"
136,ACONTm,Aconitate hydratase Astrocyte,cit[mA] <=> icit[mA],"(-1000.0, 1000.0)",Citric Acid Cycle
137,ACRNtm,O-acetylcarnintine transport into mitochondria via diffusion Astrocyte,acrn[cA] --> acrn[mA],"(0.0, 1000.0)","Transport, Mitochondrial"
138,ACSm,acetyl-CoA synthetase Astrocyte,ac[mA] + atp[mA] + coa[mA] --> accoa[mA] + amp[mA] + ppi[mA],"(0.0, 1000.0)",Glycolysis/Gluconeogenesis
139,ACYP,acylphosphatase Astrocyte,13dpg[cA] + h2o[cA] --> 3pg[cA] + h[cA] + pi[cA],"(0.0, 1000.0)",Glycolysis/Gluconeogenesis
140,ACt2m,acetate mitochondrial transport via proton symport Astrocyte,ac[cA] + h[cA] <=> ac[mA] + h[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
141,ACt2r,acetate reversible transport via proton symport Astrocyte,ac[e] + h[e] <=> ac[cA] + h[cA],"(-1000.0, 1000.0)","Transport, Extracellular"
142,ADCim,"Acetoacetate decarboxylation (irreversible), mitochondrial Astrocyte",acac[mA] + h[mA] --> acetone[mA] + co2[mA],"(0.0, 1000.0)",Propanoate Metabolism
143,ADK1,adenylate kinase Astrocyte,amp[cA] + atp[cA] <=> 2.0 adp[cA],"(-1000.0, 1000.0)",Nucleotides
144,ADK1m,"adenylate kinase, mitochondrial Astrocyte",amp[mA] + atp[mA] <=> 2.0 adp[mA],"(-1000.0, 1000.0)",Nucleotides
145,ADK3m,adentylate kinase (GTP) Astrocyte,amp[mA] + gtp[mA] <=> adp[mA] + gdp[mA],"(-1000.0, 1000.0)",Nucleotides
146,ADPRDPm,ADPribose diphosphatase (mitochondrial) Astrocyte,adprib[mA] + h2o[mA] --> amp[mA] + 2.0 h[mA] + r5p[mA],"(0.0, 1000.0)",Nucleotides
147,AGMTm,agmatinase (m) Astrocyte,agm[mA] + h2o[mA] --> ptrc[mA] + urea[mA],"(0.0, 1000.0)",Arginine and Proline Metabolism
148,AGPRim,"N-acetyl-g-glutamyl-phosphate reductase, irreversible, mitochondrial Astrocyte",acg5p[mA] + h[mA] + nadph[mA] --> acg5sa[mA] + nadp[mA] + pi[mA],"(0.0, 1000.0)",Urea cycle/amino group metabolism
149,AGTim,"alanine-glyoxylate transaminase (irreversible), mitochondrial Astrocyte",ala-L[mA] + glx[mA] --> gly[mA] + pyr[mA],"(0.0, 1000.0)",Alanine and Aspartate Metabolism
150,AKGDm,2-oxoglutarate dehydrogenase Astrocyte,akg[mA] + coa[mA] + nad[mA] --> co2[mA] + nadh[mA] + succoa[mA],"(0.0, 1000.0)",Citric Acid Cycle
151,AKGMALtm,alpha-ketoglutarate/malate transporter Astrocyte,akg[mA] + mal-L[cA] <=> akg[cA] + mal-L[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
152,ALASm,5-aminolevulinate synthase Astrocyte,gly[mA] + h[mA] + succoa[mA] --> 5aop[mA] + co2[mA] + coa[mA],"(0.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
153,ALCD2if,"alcohol dehydrogenase, forward rxn (ethanol -> acetaldehyde) Astrocyte",etoh[cA] + nad[cA] --> acald[cA] + h[cA] + nadh[cA],"(0.0, 1000.0)",Glycolysis/Gluconeogenesis
154,ALCD2yf,"alcohol dehydrogenase (ethanol, NADP), forward reaction Astrocyte",etoh[cA] + nadp[cA] --> acald[cA] + h[cA] + nadph[cA],"(0.0, 1000.0)",Glycolysis/Gluconeogenesis
155,ALDD20xm,"aldehyde dehydrogenase (indole-3-acetaldehyde, NAD), mitochondrial Astrocyte",h2o[mA] + id3acald[mA] + nad[mA] --> 2.0 h[mA] + ind3ac[mA] + nadh[mA],"(0.0, 1000.0)",Tryptophan metabolism
156,ALDD2x,"aldehyde dehydrogenase (acetaldehyde, NAD) Astrocyte",acald[cA] + h2o[cA] + nad[cA] --> ac[cA] + 2.0 h[cA] + nadh[cA],"(0.0, 1000.0)",Glycolysis/Gluconeogenesis
157,ALDD2xm,"aldehyde dehydrogenase (acetylaldehyde, NAD), mitochondrial Astrocyte",acald[mA] + h2o[mA] + nad[mA] --> ac[mA] + 2.0 h[mA] + nadh[mA],"(0.0, 1000.0)",Glycolysis/Gluconeogenesis
158,ALDD2y,"aldehyde dehydrogenase (acetaldehyde, NADP) Astrocyte",acald[cA] + h2o[cA] + nadp[cA] --> ac[cA] + 2.0 h[cA] + nadph[cA],"(0.0, 1000.0)",Glycolysis/Gluconeogenesis
159,ALR,Aldose reductase Astrocyte,h2o[cA] + mthgxl[cA] + nadp[cA] --> 2.0 h[cA] + nadph[cA] + pyr[cA],"(0.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
160,AMETt2m,"S-Adenosyl-L-methionine reversible transport, mitochondrial Astrocyte",ahcys[mA] + amet[cA] <=> ahcys[cA] + amet[mA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
161,AOBUTDsm,"L-2-amino-3-oxobutanoate decarboxylation, mitochondrial  (spontaneous) Astrocyte",2aobut[mA] + h[mA] --> aact[mA] + co2[mA],"(0.0, 1000.0)","Glycine, Serine, and Threonine Metabolism"
162,APAT2rm,3-Aminopropanoate:2-oxoglutarate aminotransferase (m) Astrocyte,akg[mA] + ala-B[mA] <=> glu-L[mA] + msa[mA],"(-1000.0, 1000.0)",beta-Alanine metabolism
163,APOC_LYS_BTNPm,"proteolysis of apoC-Lys-btn, mitochondrial Astrocyte",apoC-Lys_btn[mA] + h2o[mA] --> apoC[mA] + biocyt[mA],"(0.0, 1000.0)",Biotin Metabolism
164,APOCFm,"Apocarboxylase formation, mitochondrial Astrocyte",apoC[mA] + lys-L[mA] --> apoC-Lys[mA] + h2o[mA] + h[mA],"(0.0, 1000.0)",Biotin Metabolism
165,ARGDCm,arginine decarboxylase (m) Astrocyte,arg-L[mA] + h[mA] --> agm[mA] + co2[mA],"(0.0, 1000.0)",Arginine and Proline Metabolism
166,ARGLYSex,Arginine/Lysine exchanger (Arg in) Astrocyte,arg-L[e] + lys-L[cA] --> arg-L[cA] + lys-L[e],"(0.0, 1000.0)","Transport, Extracellular"
167,ARGtiDF,L-arginine transport via diffusion (extracellular to cytosol) Astrocyte,arg-L[e] --> arg-L[cA],"(0.0, 1000.0)","Transport, Extracellular"
168,ARGtm,arginine mitochondrial transport via ornithine carrier Astrocyte,arg-L[cA] + h[mA] <=> arg-L[mA] + h[cA],"(-1000.0, 1000.0)","Transport, Mitochondrial"
169,ASNNm,L-asparaginase (mitochondrial) Astrocyte,asn-L[mA] + h2o[mA] --> asp-L[mA] + nh4[mA],"(0.0, 1000.0)",Alanine and Aspartate Metabolism
170,ASNt4,L-asparagine transport in via sodium symport Astrocyte,asn-L[e] + na1[e] --> asn-L[cA] + na1[cA],"(0.0, 0.0)","Transport, Extracellular"
171,ASNtm,"L-asparagine transport, mitochondrial Astrocyte",asn-L[cA] --> asn-L[mA],"(0.0, 1000.0)","Transport, Mitochondrial"
172,ASPGLUm,aspartate-glutamate mitochondrial shuttle Astrocyte,asp-L[mA] + glu-L[cA] + h[cA] --> asp-L[cA] + glu-L[mA] + h[mA],"(0.0, 1000.0)","Transport, Mitochondrial"
173,ASPTA,aspartate transaminase Astrocyte,akg[cA] + asp-L[cA] <=> glu-L[cA] + oaa[cA],"(-1000.0, 1000.0)",Alanine and Aspartate Metabolism
