,rxn_ids,rxn_names,reactions,rxn_bounds,rxn_subsystems
22,24_25DHVITD3tm,"24,25-Dihydroxyvitamin D3 transport from mitochondria",2425dhvitd3_m --> 2425dhvitd3_c,"(0.0, 100.0)","Transport, mitochondrial"
23,24_25VITD2Hm,24R-Vitamin D-25-hydroxylase (D2),25hvitd2_m + 2.0 h_m + nadph_m + o2_m --> 2425dhvitd2_m + h2o_m + nadp_m,"(0.0, 100.0)",Vitamin D metabolism
24,24_25VITD3Hm,24R-Vitamin D-25-hydroxylase (D3),25hvitd3_m + 2.0 h_m + nadph_m + o2_m --> 2425dhvitd3_m + h2o_m + nadp_m,"(0.0, 100.0)",Vitamin D metabolism
25,24NPHte,xenobiotic transport,24nph_e <=> 24nph_c,"(-100.0, 100.0)","Transport, extracellular"
26,25HVITD2t,25-hydroxyvitamin D2 transport from cytoplasm,25hvitd2_c --> 25hvitd2_e,"(0.0, 100.0)","Transport, extracellular"
27,25HVITD2tin,25-hydroxyvitamin D2 transport in cytoplasm,25hvitd2_e --> 25hvitd2_c,"(0.0, 100.0)","Transport, extracellular"
28,25HVITD2tin_m,25-hydroxyvitamin D2 transport in mitochondria,25hvitd2_c --> 25hvitd2_m,"(0.0, 100.0)","Transport, mitochondrial"
29,25HVITD2tm,25-hydroxyvitamin D2 transport from mitochondria,25hvitd2_m --> 25hvitd2_c,"(0.0, 100.0)","Transport, mitochondrial"
30,25HVITD3t,25-hydroxyvitamin D3 transport from cytoplasm,25hvitd3_c --> 25hvitd3_e,"(0.0, 100.0)","Transport, extracellular"
31,25HVITD3tin,25-hydroxyvitamin D3 transport in cytoplasm,25hvitd3_e --> 25hvitd3_c,"(0.0, 100.0)","Transport, extracellular"
32,25HVITD3tin_m,25-hydroxyvitamin D3 transport in mitochondria,25hvitd3_c --> 25hvitd3_m,"(0.0, 100.0)","Transport, mitochondrial"
33,25HVITD3tm,25-hydroxyvitamin D3 transport from mitochondria,25hvitd3_m --> 25hvitd3_c,"(0.0, 100.0)","Transport, mitochondrial"
34,25VITD2Hm,1-alpha-Vitamin D-25-hydroxylase (D2),25hvitd2_m + 2.0 h_m + nadph_m + o2_m --> 1a25dhvitd2_m + h2o_m + nadp_m,"(0.0, 100.0)",Vitamin D metabolism
35,25VITD3Hm,1-alpha-Vitamin D-25-hydroxylase (D3),25hvitd3_m + 2.0 h_m + nadph_m + o2_m --> 1a25dhvitd3_m + h2o_m + nadp_m,"(0.0, 100.0)",Vitamin D metabolism
36,2AMACHYD,2-Aminoacrylate hydrolysis,2amac_c + h2o_c --> nh4_c + pyr_c,"(0.0, 100.0)","Glycine, serine, alanine and threonine metabolism"
37,2AMACSULT,2-Aminoacrylate sulfotransferase,2amac_c + h_c + nadph_c + paps_c --> Lcyst_c + nadp_c + pap_c,"(0.0, 100.0)",Methionine and cysteine metabolism
38,2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria),L2aadp_c + akg_m --> L2aadp_m + akg_c,"(0.0, 100.0)",Lysine metabolism
39,2DR1PP,2-deoxy-D-ribose 1-phosphate phosphorylase,2dr1p_c + h2o_c --> drib_c + pi_c,"(0.0, 100.0)",Pyrimidine catabolism
40,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,2hb_c + nad_c <=> 2obut_c + 2.0 h_c + nadh_c,"(-100.0, 100.0)",Propanoate metabolism
41,2HBt2,2-hydroxybutyrate cotransport with proton,2hb_e + h_e <=> 2hb_c + h_c,"(-100.0, 100.0)","Transport, extracellular"
42,2HCO3_NAt,bicarbonate transport (Na/HCO3 1:2 cotransport),2.0 hco3_e + na1_e <=> 2.0 hco3_c + na1_c,"(-100.0, 100.0)","Transport, extracellular"
43,2MCITt,2-methylcitrate transport via diffusion,2mcit_c <=> 2mcit_e,"(-100.0, 100.0)","Transport, extracellular"
44,2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),2oxoadp_m + coa_m + nad_m --> co2_m + glutcoa_m + h_m + nadh_m,"(0.0, 100.0)",Lysine metabolism
45,2OXOADPTm,2-oxoadipate shuttle (cytosol/mitochondria),2oxoadp_c + akg_m <=> 2oxoadp_m + akg_c,"(-100.0, 100.0)",Tryptophan metabolism
46,34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase",34dhmald_c + 2.0 h_c + nadh_c <=> 34dhoxpeg_c + nad_c,"(-100.0, 100.0)",Tyrosine metabolism
47,34DHOXPEGt,"3,4-Dihydroxyphenylethyleneglycol transport (diffusion)",34dhoxpeg_c <=> 34dhoxpeg_e,"(-100.0, 100.0)","Transport, extracellular"
48,34DHPHAMT,"3,4-Dihydroxyphenylacetate:amet O-methyltransferase",34dhpha_c + amet_c --> ahcys_c + 2.0 h_c + homoval_c,"(0.0, 100.0)",Tyrosine metabolism
49,34DHPHEt,"3,4-Dihydroxy-L-phenylalanine transport",34dhphe_e <=> 34dhphe_c,"(-100.0, 100.0)","Transport, extracellular"
50,34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase",34dhpac_c + h2o_c + nad_c --> 34dhpha_c + 3.0 h_c + nadh_c,"(0.0, 100.0)",Tyrosine metabolism
51,34DHPLACOX_NADP,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase",34dhpac_c + h2o_c + nadp_c <=> 34dhpha_c + 3.0 h_c + nadph_c,"(-100.0, 100.0)",Tyrosine metabolism
52,34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",34dhmald_c + h2o_c + nad_c --> 34dhoxmand_c + 3.0 h_c + nadh_c,"(0.0, 100.0)",Tyrosine metabolism
53,34DHXMANDACOX_NADP,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase",34dhmald_c + h2o_c + nadp_c <=> 34dhoxmand_c + 3.0 h_c + nadph_c,"(-100.0, 100.0)",Tyrosine metabolism
54,34HPLFM,3-(4-hydroxyphenyl-)lactate formation,34hpp_m + 2.0 h_m + nadh_m --> 34hpl_m + nad_m,"(0.0, 100.0)",Ubiquinone synthesis
55,34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,34hpp_c + o2_c --> co2_c + hgentis_c,"(0.0, 100.0)",Tyrosine metabolism
56,35CGMPtn,35cGMP nuclear transport,35cgmp_c <=> 35cgmp_n,"(-100.0, 100.0)","Transport, nuclear"
57,3AIBt,3-amino-isobutyrate transport,3aib_c --> 3aib_e,"(0.0, 100.0)","Transport, extracellular"
58,3AIBTm,"L-3-aminoisobutyrate transaminase, mitochondrial",2mop_m + glu_L_m <=> 3aib_m + akg_m,"(-100.0, 100.0)","Valine, leucine, and isoleucine metabolism"
59,3AIBtm,"3-amino-isobutyrate transport, mitochondrial",3aib_m --> 3aib_c,"(0.0, 100.0)","Transport, mitochondrial"
60,3DPHBH1,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH),3dphb_m + h_m + nadh_m + o2_m --> 3dpdhb_m + h2o_m + nad_m,"(0.0, 100.0)",Ubiquinone synthesis
61,3DPHBH2,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH),3dphb_m + h_m + nadph_m + o2_m --> 3dpdhb_m + h2o_m + nadp_m,"(0.0, 100.0)",Ubiquinone synthesis
62,3DSPHR,3-Dehydrosphinganine reductase,3dsphgn_c + 2.0 h_c + nadph_c --> nadp_c + sphgn_c,"(0.0, 100.0)",Sphingolipid metabolism
63,3HAO,"3-hydroxyanthranilate 3,4-dioxygenase",3hanthrn_c + o2_c --> cmusa_c,"(0.0, 100.0)",Tryptophan metabolism
64,3HBCDm,"3-hydroxybutyryl-CoA dehydratase, mitochondrial",b2coa_m + h2o_m <=> 3hbcoa_R_m,"(-100.0, 100.0)",Butanoate metabolism
65,3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",3hibutcoa_m + h2o_m --> 3hmp_m + coa_m + h_m,"(0.0, 100.0)","Valine, leucine, and isoleucine metabolism"
66,3HKYNAKGAT,3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase,akg_c + hLkynr_c --> 42A3HP24DB_c + glu_L_c,"(0.0, 100.0)",Tryptophan metabolism
67,3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,34dhphe_c + h_c --> co2_c + dopa_c,"(0.0, 100.0)",Tyrosine metabolism
68,3HPCOAHYD,3-hydroxyisobutyryl-Coenzyme A hydrolase,3hpcoa_c + h2o_c --> 3hpp_c + coa_c + h_c,"(0.0, 100.0)",beta-Alanine metabolism
69,3HPPD,3-hydroxypropionate dehydrogenase,3hpp_c + nad_c <=> 2.0 h_c + msa_c + nadh_c,"(-100.0, 100.0)",Propanoate metabolism
70,3HXKYNDCL,3-Hydroxykynurenamine decarboxy-lyase,hLkynr_c + h_c --> 3hxkynam_c + co2_c,"(0.0, 100.0)",Tryptophan metabolism
71,3HXKYNOXDA,3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),3hxkynam_c + o2_c --> 48dhoxquin_c + h2o2_c + nh4_c,"(0.0, 100.0)",Tryptophan metabolism
72,3M4HDXPAC,3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase,3mox4hpac_c + h2o_c + nad_c <=> 3.0 h_c + homoval_c + nadh_c,"(-100.0, 100.0)",Tyrosine metabolism
73,3MLDAt,3MLDA extracellular transport via diffusion,3mlda_c <=> 3mlda_e,"(-100.0, 100.0)","Transport, extracellular"
74,3MOBt2im,3-methyl-2-oxobutanoate mitochondrial transport via proton symport,3mob_c + h_c --> 3mob_m + h_m,"(0.0, 100.0)","Transport, mitochondrial"
75,3MOPt2im,3-Methyl-2-oxopentanoate mitochondrial transport via proton symport,3mop_c + h_c --> 3mop_m + h_m,"(0.0, 100.0)","Transport, mitochondrial"
76,3MOX4HOXPGALDOX,3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase,3m4hpga_c + h2o_c + nad_c --> 3mox4hoxm_c + 3.0 h_c + nadh_c,"(0.0, 100.0)",Tyrosine metabolism
77,3MOX4HOXPGALDOX_NADP,3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase,3m4hpga_c + h2o_c + nadp_c <=> 3mox4hoxm_c + 3.0 h_c + nadph_c,"(-100.0, 100.0)",Tyrosine metabolism
78,3MOXTYROX,3-Methoxytyramine:oxygen oxidoreductase (deaminating),3moxtyr_c + h2o_c + o2_c --> 3mox4hpac_c + h2o2_c + nh4_c,"(0.0, 100.0)",Tyrosine metabolism
79,3NTD7l,"3'-nucleotidase (AMP), lysosome",3amp_l + h2o_l --> adn_l + pi_l,"(0.0, 100.0)",Purine catabolism
80,3SALAASPm,cysteinesulfinate-aspartate mitochondrial shuttle,3sala_m + asp_L_c <=> 3sala_c + asp_L_m,"(-100.0, 100.0)","Transport, mitochondrial"
81,3SALACBOXL,3-Sulfino-L-alanine carboxy-lyase,3sala_c + h_c --> co2_c + hyptaur_c,"(0.0, 100.0)",Taurine and hypotaurine metabolism
82,3SALAOX,cysteinesulfinic acid oxidase,2.0 3sala_c + o2_c --> 2.0 Lcyst_c,"(0.0, 100.0)",Taurine and hypotaurine metabolism
83,3SALATAi,3-sulfino-alanine transaminase (irreversible),3sala_c + akg_c --> 3snpyr_c + glu_L_c,"(0.0, 100.0)",Methionine and cysteine metabolism
84,3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial",3sala_m + akg_m --> 3snpyr_m + glu_L_m,"(0.0, 100.0)",Methionine and cysteine metabolism
85,3SPYRSP,3-sulfinopyruvate hydrolase (spotaneous reaction),3snpyr_c + h2o_c --> pyr_c + so3_c,"(0.0, 100.0)",Methionine and cysteine metabolism
86,3SPYRSPm,"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial",3snpyr_m + h2o_m --> pyr_m + so3_m,"(0.0, 100.0)",Methionine and cysteine metabolism
87,41R1H2MAE12BOOX,"4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",adrnl_c + h2o_c + o2_c --> 34dhmald_c + h2o2_c + mma_c,"(0.0, 100.0)",Tyrosine metabolism
88,41R2A1H12BOOX,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",h2o_c + nrpphr_c + o2_c --> 34dhmald_c + h2o2_c + nh4_c,"(0.0, 100.0)",Tyrosine metabolism
89,42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",dopa_c + h2o_c + o2_c --> 34dhpac_c + h2o2_c + nh4_c,"(0.0, 100.0)",Tyrosine metabolism
90,4ABUTtm,4-aminobutanoate mitochondrial transport via diffusion,4abut_c <=> 4abut_m,"(-100.0, 100.0)","Transport, mitochondrial"
91,4HBZCOAFm,4-hydroxybenzoyl-CoA formation,coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + 2.0 h_m + nadh_m,"(0.0, 100.0)",Ubiquinone synthesis
92,4HBZFm,4-hydroxybenzoate formation,4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m,"(0.0, 100.0)",Ubiquinone synthesis
93,4HDEBRISOQUINEte,xenobiotic transport,4hdebrisoquine_e <=> 4hdebrisoquine_c,"(-100.0, 100.0)","Transport, extracellular"
94,4HGLSDm,"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial",4hglusa_m + h2o_m + nad_m --> e4hglu_m + 3.0 h_m + nadh_m,"(0.0, 100.0)",Arginine and Proline Metabolism
95,4HOXPACDOX_NADP,4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase,4hoxpacd_c + h2o_c + nadp_c <=> 4hphac_c + 3.0 h_c + nadph_c,"(-100.0, 100.0)",Tyrosine metabolism
96,4MOPt2im,4-methyl-2-oxopentanoate mitochondrial transport  via proton symport,4mop_c + h_c --> 4mop_m + h_m,"(0.0, 100.0)","Transport, mitochondrial"
97,4MPTNLte,4-methylpentanal transport,4mptnl_c <=> 4mptnl_e,"(-100.0, 100.0)","Transport, extracellular"
98,4MPTNLtm,4-methylpentanal transport (mitochondria),4mptnl_c <=> 4mptnl_m,"(-100.0, 100.0)","Transport, mitochondrial"
99,4MPTNLtr,4-methylpentanal transport (ER),4mptnl_c <=> 4mptnl_r,"(-100.0, 100.0)","Transport, endoplasmic reticular"
100,4MTOLBUTAMIDEte,xenobiotic transport,4mtolbutamide_e <=> 4mtolbutamide_c,"(-100.0, 100.0)","Transport, extracellular"
101,4NPHSFte,xenobiotic transport,4nphsf_e <=> 4nphsf_c,"(-100.0, 100.0)","Transport, extracellular"
102,4NPHSULT,4-Nitrophenol Sulfotransferase,4nph_c + paps_c --> 4nphsf_c + h_c + pap_c,"(0.0, 100.0)",Cytochrome metabolism
103,4NPHte,xenobiotic transport,4nph_e <=> 4nph_c,"(-100.0, 100.0)","Transport, extracellular"
104,4PYRDX,4-Pyridoxal secretion,4pyrdx_c + atp_c + h2o_c --> 4pyrdx_e + adp_c + h_c + pi_c,"(0.0, 100.0)","Transport, extracellular"
105,5ADTSTSTERONEGLCte,glucuronidated compound transport,5adtststeroneglc_c + atp_c + h2o_c --> 5adtststeroneglc_e + adp_c + h_c + pi_c,"(0.0, 100.0)","Transport, extracellular"
106,5ADTSTSTERONEGLCtr,glucuronidated compound transport,5adtststeroneglc_c <=> 5adtststeroneglc_r,"(-100.0, 100.0)","Transport, endoplasmic reticular"
107,5ADTSTSTERONESte,sulfonated testosterone transport,5adtststerones_c <=> 5adtststerones_e,"(-100.0, 100.0)","Transport, extracellular"
108,5ADTSTSTERONESULT,5alpha-Dihydrotestosterone sulfotransferase,5adtststerone_c + paps_c --> 5adtststerones_c + h_c + pap_c,"(0.0, 100.0)",Steroid metabolism
109,5ADTSTSTERONEte,5 alpha dihydrotesterone transport,5adtststerone_e <=> 5adtststerone_c,"(-100.0, 100.0)","Transport, extracellular"
110,5ADTSTSTERONEtr,5 alpha dihydrotesterone intracellular transport,5adtststerone_r <=> 5adtststerone_c,"(-100.0, 100.0)","Transport, endoplasmic reticular"
111,5AOPtm,5-Aminolevulinate mitochondrial transport,5aop_c <=> 5aop_m,"(-100.0, 100.0)",Heme synthesis
112,5DHFtl,"5-glutamyl-DHF transport, lysosomal",5dhf_c --> 5dhf_l,"(0.0, 100.0)","Transport, lysosomal"
113,5FTHFt2,5-formyltetrahydrofolate transport via anion exchange,5fthf_e + h2o_c <=> 5fthf_c + h2o_e,"(-100.0, 100.0)","Transport, extracellular"
114,5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,5htrp_c + h_c --> co2_c + srtn_c,"(0.0, 100.0)",Tryptophan metabolism
115,5HOMEPRAZOLEte,xenobiotic transport,5homeprazole_e <=> 5homeprazole_c,"(-100.0, 100.0)","Transport, extracellular"
116,5HOXINDACTO2OX,5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase,5hoxindact_c + h2o_c + o2_c --> 5hoxindoa_c + h2o2_c + h_c,"(0.0, 100.0)",Tryptophan metabolism
117,5HOXINDACTOXm,5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito),5hoxindact_m + h2o_m + nad_m --> 5hoxindoa_m + 3.0 h_m + nadh_m,"(0.0, 100.0)",Tryptophan metabolism
118,5HOXINOXDA,5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),h2o_c + o2_c + srtn_c --> 5hoxindact_c + h2o2_c + nh4_c,"(0.0, 100.0)",Tryptophan metabolism
119,5HTRPDOX,"5-Hydroxy-L-tryptophan:oxygen 2,3-dioxygenase (indole-decyclizing)",5htrp_c + o2_c --> 5hoxnfkyn_c,"(0.0, 100.0)",Tryptophan metabolism
120,5HTRPVESSEC,5-hydroxy-L-tryptophan secretion via secretory vesicle (ATP driven),5htrp_c + atp_c + h2o_c --> 5htrp_e + adp_c + h_c + pi_c,"(0.0, 100.0)","Transport, extracellular"
121,5HXKYNDCL,5-Hydroxykynurenamine decarboxy-lyase,5hxkyn_c + h_c --> 5hxkynam_c + co2_c,"(0.0, 100.0)",Tryptophan metabolism
122,5HXKYNOXDA,5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),5hxkynam_c + o2_c --> 46dhoxquin_c + h2o2_c + nh4_c,"(0.0, 100.0)",Tryptophan metabolism
123,5MTHFt,5-Methyltetrahydrofolate transport via receptor binding and protolysis,5mthf_e <=> 5mthf_c,"(-100.0, 100.0)","Transport, extracellular"
124,5MTHFt2,5-methyltetrahydrofolate transport via anion exchange,5mthf_e + h2o_c <=> 5mthf_c + h2o_e,"(-100.0, 100.0)","Transport, extracellular"
125,5THFtl,"5-glutamyl-THF transport, lysosomal",5thf_c --> 5thf_l,"(0.0, 100.0)","Transport, lysosomal"
126,5THFtm,"5-glutamyl-THF transport,m mitochondrial",5thf_m --> 5thf_c,"(0.0, 100.0)","Transport, mitochondrial"
127,6DHFtl,"6-glutamyl-DHF transport, lysosomal",6dhf_c --> 6dhf_l,"(0.0, 100.0)","Transport, lysosomal"
128,6DHFtm,"6-glutamyl-DHF transport,m mitochondrial",6dhf_m --> 6dhf_c,"(0.0, 100.0)","Transport, mitochondrial"
129,6HTSTSTERONEte,hydroxylated testosterone transport,6htststerone_c <=> 6htststerone_e,"(-100.0, 100.0)","Transport, extracellular"
130,6HTSTSTERONEtr,hydroxylated testosterone transport,6htststerone_c <=> 6htststerone_r,"(-100.0, 100.0)","Transport, endoplasmic reticular"
131,6THFtl,"6-glutamyl-THF transport, lysosomal",6thf_c --> 6thf_l,"(0.0, 100.0)","Transport, lysosomal"
132,6THFtm,"6-glutamyl-THF transport,m mitochondrial",6thf_m --> 6thf_c,"(0.0, 100.0)","Transport, mitochondrial"
133,7DHCHSTEROLtr,cholesterol precursor intracellular transport,7dhchsterol_r <=> 7dhchsterol_c,"(-100.0, 100.0)","Transport, endoplasmic reticular"
134,7DHFtl,"7-glutamyl-DHF transport, lysosomal",7dhf_c --> 7dhf_l,"(0.0, 100.0)","Transport, lysosomal"
135,7DHFtm,"7-glutamyl-DHF transport,m mitochondrial",7dhf_m --> 7dhf_c,"(0.0, 100.0)","Transport, mitochondrial"
136,7THFtl,"7-glutamyl-THF transport, lysosomal",7thf_c --> 7thf_l,"(0.0, 100.0)","Transport, lysosomal"
137,7THFtm,"7-glutamyl-THF transport,m mitochondrial",7thf_m --> 7thf_c,"(0.0, 100.0)","Transport, mitochondrial"
138,A_MANASE,alpha-mannosidase,2.0 h2o_c + m2mn_c --> 2.0 man_c + mn_c,"(0.0, 100.0)",N-glycan degradation
139,A_MANASEly,"alpha-mannosidase, lysosomal",2.0 h2o_l + m2mn_l --> 2.0 man_l + mn_l,"(0.0, 100.0)",N-glycan degradation
140,A4GALTc,Lactosylceramide 4-alpha-galactosyltransferase,galgluside_hs_c + udpgal_c --> h_c + thcrm_hs_c + udp_c,"(0.0, 100.0)",Sphingolipid metabolism
141,A4GALTg,Lactosylceramide 4-alpha-galactosyltransferase,galgluside_hs_g + udpgal_g --> h_g + thcrm_hs_g + udp_g,"(0.0, 100.0)",Sphingolipid metabolism
142,A4GNT1g,"alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus",T_antigen_g + uacgam_g --> gncore1_g + udp_g,"(0.0, 100.0)",O-glycan synthesis
143,A4GNT2g,"alpha 1,4-N-acetylglucosaminyltransferase, Golgi apparatus",core2_g + uacgam_g --> gncore2_g + h_g + udp_g,"(0.0, 100.0)",O-glycan synthesis
144,AACOAT,Acetoacetyl-CoA:acetate CoA-transferase,acac_c + atp_c + coa_c --> aacoa_c + amp_c + h_c + ppi_c,"(0.0, 100.0)",Propanoate metabolism
145,AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c,"(0.0, 100.0)","Glycine, serine, alanine and threonine metabolism"
146,AACTtm,Aminoacetone transport (mitochondrial),aact_m --> aact_c,"(0.0, 100.0)","Transport, mitochondrial"
147,AASAD3m,"L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial",L2aadp6sa_m + h2o_m + nad_m --> L2aadp_m + 3.0 h_m + nadh_m,"(0.0, 100.0)",Lysine metabolism
148,AATAi,"2-aminoadipate transaminase, irreversible",L2aadp_c + akg_c <=> 2oxoadp_c + glu_L_c,"(-100.0, 100.0)",Lysine metabolism
149,ABO1g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",fucgalacglcgalgluside_hs_g + udpacgal_g --> acgalfucgalacglcgalgluside_hs_g + h_g + udp_g,"(0.0, 100.0)",Blood group synthesis
150,ABO2g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",fucgalacglcgalgluside_hs_g + udpgal_g --> galfucgalacglcgalgluside_hs_g + h_g + udp_g,"(0.0, 100.0)",Blood group synthesis
151,ABO3g,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",fuc12gal14acglcgalgluside_hs_g + udpgal_g --> galfuc12gal14acglcgalgluside_hs_g + h_g + udp_g,"(0.0, 100.0)",Blood group synthesis
