,Metabolite ID,Metabolite Name,Dual solution
104,hgentis_c,Homogentisate,0.0
105,35cgmp_c,"3,5-Cyclic Guanosine Monophosphate",-0.04665607584113088
106,35cgmp_n,"3,5-Cyclic Guanosine Monophosphate",-0.04665607584113088
107,3aib_m,(S)-3-Aminoisobutyric Acid,1.4062373272687183e-16
108,2mop_m,2-Methyl-3-Oxopropanoate,9.758141769624901e-17
109,glu_L_m,L-Glutamate,2.6494053599487728e-17
110,3aib_c,(S)-3-Aminoisobutyric Acid,0.0
111,3dphb_m,3-Decaprenyl-4-Hydroxybenzoate,-1.4698255856670352e-16
112,3dpdhb_m,"3-Decaprenyl-4,5-Dihdydroxybenzoate",-3.5575977522342156e-17
113,3dsphgn_c,(2S)-1-Hydroxy-3-Oxooctadecan-2-Aminium,0.0
114,sphgn_c,Sphinganine,0.0
115,3hanthrn_c,3-Hydroxyanthranilate,0.0
116,cmusa_c,"Cis,Cis-2-Amino-3-(3-Oxoprop-1-Enyl)But-2-Enedioate",-1.2164844516785246e-17
117,b2coa_m,Crotonoyl Coenzyme A,-0.04665607584113129
118,3hbcoa_R_m,(R)-3-Hydroxybutanoyl Coenzyme A,-0.04665607584113127
119,3hibutcoa_m,(S)-3-Hydroxyisobutyryl Coenzyme A,-0.04665607584113112
120,3hmp_m,3-Hydroxy-2-Methylpropanoate,1.5309256892750684e-16
121,glu_L_c,L-Glutamate,3.59550637593686e-17
122,hLkynr_c,3-Hydroxy-L-Kynurenine,1.6694608950870524e-16
123,42A3HP24DB_c,"4-(2-Amino-3-Hydroxyphenyl)-2,4-Dioxobutanoate",0.0
124,dopa_c,Dopamine,2.5546407064193654e-18
125,coa_c,Coenzyme A,-0.04665607584113112
126,3hpp_c,3-Hydroxypropionate,-0.0
127,3mox4hpac_c,(4-Hydroxy-3-Methoxyphenyl)Acetaldehyde,-1.5000764343023873e-16
128,3mlda_c,3-Methylimidazoleacetic Acid,0.0
129,3mlda_e,3-Methylimidazoleacetic Acid,0.0
130,3mob_c,3-Methyl-2-Oxobutanoate,0.0
131,3mob_m,3-Methyl-2-Oxobutanoate,-9.461010159880876e-18
132,3mop_c,3-Methyl-2-Oxopentanoate,-9.503596198996806e-17
133,3mop_m,3-Methyl-2-Oxopentanoate,-2.1941411911603624e-17
134,3m4hpga_c,3-Methoxy-4-Hydroxyphenylglycolaldehyde,0.0
135,3mox4hoxm_c,3-Methoxy-4-Hydroxymandelate,0.0
136,3moxtyr_c,3-Methoxytyramine,2.900202797264334e-17
137,h2o_l,Water,1.078518263574725e-17
138,pi_l,Orthophosphate,-0.0
139,adn_l,Adenosine,0.0
140,3sala_m,3-Sulfino-L-Alanine,5.073982179763135e-18
141,3sala_c,3-Sulfino-L-Alanine,4.405370853473892e-17
142,asp_L_c,L-Aspartate,1.1670707658860433e-16
143,asp_L_m,L-Aspartate,7.772735023362854e-17
144,hyptaur_c,Hypotaurine,-1.7435677027130317e-17
145,3snpyr_c,3-Sulfinopyruvate,0.0
146,3snpyr_m,3-Sulfinopyruvate,-4.064142518870721e-17
147,so3_c,Sulfite,5.26547961942414e-17
148,pyr_m,Pyruvate,-8.326672684688674e-17
149,so3_m,Sulfite,6.344198336990122e-17
150,adrnl_c,Adrenaline,0.0
151,mma_c,Methylammonium,0.0
152,nrpphr_c,Norepinephrine,0.0
153,4abut_c,4-Aminobutanoate,4.8119908276153845e-17
154,4abut_m,4-Aminobutanoate,0.0
155,coucoa_m,P-Coumaroyl Coenzyme A,-0.04665607584113123
156,4hbzcoa_m,4-Hydroxybenzoyl Coenzyme A,-0.04665607584113118
157,accoa_m,Acetyl Coenzyme A,-0.04665607584113124
158,4hbz_m,4-Hydroxybenzoate,-0.0
159,4hdebrisoquine_e,4-Hydroxy Debrisoquine,0.0
160,4hdebrisoquine_c,4-Hydroxy Debrisoquine,0.0
161,4hglusa_m,L-4-Hydroxyglutamic Semialdehyde,-1.3068614842870018e-17
162,e4hglu_m,Erythro-4-Hydroxy-L-Glutamate,-2.937392154551779e-17
163,4hoxpacd_c,(4-Hydroxyphenyl)Acetaldehyde,0.0
164,4hphac_c,4-Hydroxyphenylacetate,0.0
165,4mop_c,4-Methyl-2-Oxopentanoate,0.0
166,4mop_m,4-Methyl-2-Oxopentanoate,-9.461010159880876e-18
167,4mptnl_c,4-Methylpentanal,-0.0
168,4mptnl_e,4-Methylpentanal,-0.0
169,4mptnl_m,4-Methylpentanal,0.0
170,4mtolbutamide_e,4-Hydroxy Tolbutamide,0.0
171,4mtolbutamide_c,4-Hydroxy Tolbutamide,0.0
172,4nphsf_e,4-Nitrophenyl Sulfate,0.0
173,4nphsf_c,4-Nitrophenyl Sulfate,0.0
174,4nph_c,4-Nitrophenolate,0.0
175,4nph_e,4-Nitrophenolate,0.0
176,4pyrdx_c,4-Pyridoxate,0.0
177,4pyrdx_e,4-Pyridoxate,0.0
178,5adtststeroneglc_c,5Alpha-Dihydrotestosterone Glucuronide,0.0
179,5adtststeroneglc_e,5Alpha-Dihydrotestosterone Glucuronide,0.0
180,5adtststeroneglc_r,5Alpha-Dihydrotestosterone Glucuronide,0.0
181,5adtststerones_c,5Alpha-Dihydrotestosterone Sulfate,2.9485980689668417e-16
182,5adtststerones_e,5Alpha-Dihydrotestosterone Sulfate,0.0
183,5adtststerone_c,17Beta-Hydroxy-5Alpha-Androstan-3-One,2.4628754956933357e-16
184,5adtststerone_e,17Beta-Hydroxy-5Alpha-Androstan-3-One,0.0
185,5adtststerone_r,17Beta-Hydroxy-5Alpha-Androstan-3-One,0.0
186,5aop_c,5-Amino-4-Oxopentanoate,1.1605867564512512e-17
187,5aop_m,5-Amino-4-Oxopentanoate,1.1605867564512512e-17
188,5dhf_c,Pentaglutamyl Folate (Dhf),-0.04665607584113088
189,5dhf_l,Pentaglutamyl Folate (Dhf),-0.04665607584113088
190,h2o_e,Water,2.5042848564273597e-17
191,5fthf_e,5-Formyltetrahydrofolate,0.0
192,5fthf_c,5-Formyltetrahydrofolate,0.0
193,5htrp_c,5-Hydroxy-L-Tryptophan,0.0
194,srtn_c,Serotonin,2.5546407064193654e-18
195,5homeprazole_e,5-Hydroxy Omeprazole,0.0
196,5homeprazole_c,5-Hydroxy Omeprazole,0.0
197,5hoxindact_c,(5-Hydroxyindol-3-Yl)Acetaldehyde,-5.551115123125783e-17
198,5hoxindoa_c,5-Hydroxyindoleacetate,1.431469084936227e-17
199,5htrp_e,5-Hydroxy-L-Tryptophan,0.0
200,5mthf_e,5-Methyltetrahydrofolate,-0.0
201,5mthf_c,5-Methyltetrahydrofolate,6.739973925888778e-17
202,5thf_c,Pentaglutamyl Folate (Thf),-1.2601228107112094e-16
203,5thf_l,Pentaglutamyl Folate (Thf),-1.2601228107112094e-16
204,5thf_m,Pentaglutamyl Folate (Thf),-1.2601228107112094e-16
205,6dhf_c,Hexaglutamyl Folate (Dhf),-0.09331215168226184
206,6dhf_l,Hexaglutamyl Folate (Dhf),-0.09331215168226184
207,6dhf_m,Hexaglutamyl Folate (Dhf),-0.09331215168226184
208,6htststerone_c,6-Beta-Hydroxy Testosterone,0.0
209,6htststerone_e,6-Beta-Hydroxy Testosterone,0.0
210,6htststerone_r,6-Beta-Hydroxy Testosterone,0.0
211,6thf_c,Hexaglutamyl Folate (Thf),-1.5387802680927476e-16
212,6thf_l,Hexaglutamyl Folate (Thf),-1.5387802680927476e-16
213,6thf_m,Hexaglutamyl Folate (Thf),-0.04665607584113109
214,7dhchsterol_r,"Cholesta-5,7-Dien-3Beta-Ol",-0.0
215,7dhchsterol_c,"Cholesta-5,7-Dien-3Beta-Ol",-0.0
216,7dhf_c,Heptaglutamyl Folate (Dhf),-0.1399682275233928
217,7dhf_l,Heptaglutamyl Folate (Dhf),-0.1399682275233928
218,7dhf_m,Heptaglutamyl Folate (Dhf),-0.1399682275233928
219,7thf_c,Heptaglutamyl Folate (Thf),-1.8174377254742862e-16
220,7thf_l,Heptaglutamyl Folate (Thf),-1.8174377254742862e-16
221,7thf_m,Heptaglutamyl Folate (Thf),-0.09331215168226205
222,man_c,D-Mannose,0.0
223,m2mn_l,(Alpha-D-Mannosyl)2-Beta-D-Mannosyl-N-Acetylglucosamine,0.0
224,man_l,D-Mannose,0.0
225,mn_l,"Beta-1,4-Mannose-N-Acetylglucosamine",0.0
226,galgluside_hs_c,Galactosyl Glucosyl Ceramide,1.218074850982629e-16
227,udpgal_c,Uridine-5'-Diphosphate-D-Galactose,-0.09331215168226208
228,thcrm_hs_c,Trihexosyl Ceramide,1.078518263574725e-17
229,udp_c,Uridine Diphosphate,-0.09331215168226195
230,h_g,Proton,-1.5590731098843668e-17
231,galgluside_hs_g,Galactosyl Glucosyl Ceramide,0.0
232,udpgal_g,Uridine-5'-Diphosphate-D-Galactose,-6.245004513516506e-17
233,thcrm_hs_g,Trihexosyl Ceramide,0.0
234,udp_g,Uridine Diphosphate,-3.469446951953614e-17
235,T_antigen_g,T-Antigen (Core 1),0.0
236,uacgam_g,Uridine-5'-Diphosphate-N-Acetyl-Alpha-D-Glucosamine,8.849267745976476e-17
237,gncore1_g,"GlcNac-Alpha-1,4-Core 1",0.0
238,core2_g,Core 2,0.0
239,gncore2_g,"GlcNac-Alpha-1,4-Core 2",0.0
240,aact_c,Ammonioacetone,-2.3779972506950204e-17
241,mthgxl_c,Methylglyoxal,-4.9519920894274863e-17
242,aact_m,Ammonioacetone,-4.2432669623020667e-17
243,L2aadp6sa_m,L-Allysine,5.424962921511664e-17
244,fucgalacglcgalgluside_hs_g,Type Ih Glycolipid,5.551115123125783e-17
245,udpacgal_g,Uridine-5'-Diphosphate-N-Acetyl-D-Galactosamine,8.326672684688674e-17
246,acgalfucgalacglcgalgluside_hs_g,Type Ia Glycolipid,4.163336342344337e-17
247,galfucgalacglcgalgluside_hs_g,Gal-Alpha1->3(Fuc-Alpha1->2)Gal-Beta1->3GlcNac-Beta1->3LacCer,4.163336342344337e-17
248,fuc12gal14acglcgalgluside_hs_g,Type Iih Glycolipid,5.551115123125783e-17
249,galfuc12gal14acglcgalgluside_hs_g,(Gal)3 (Glc)1 (GlcNac)1 (LFuc)1 (Cer)1,0.0
250,acgalfuc12gal14acglcgalgluside_hs_g,(Gal)2 (GalNac)1 (Glc)1 (GlcNac)1 (LFuc)1 (Cer)1,0.0
251,fucgalacgalfuc12gal14acglcgalgluside_hs_g,Type Iiih Glycolipid,-4.163336342344337e-17
252,acgalfucgalacgalfuc12gal14acglcgalgluside_hs_g,Type Iiia Glycolipid,0.0
253,fucgalacglcgal14acglcgalgluside_hs_g,Vi2Fuc-Nlc6,8.326672684688674e-17
254,acgalfucgalacglcgal14acglcgalgluside_hs_g,(Gal)3 (GalNac)1 (Glc)1 (GlcNac)2 (LFuc)1 (Cer)1,0.0
255,fucgalacgalfucgalacglcgal14acglcgalgluside_hs_g,(Gal)4 (GalNac)1 (Glc)1 (GlcNac)2 (LFuc)2 (Cer)1,-4.163336342344337e-17
256,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_g,Type Iiiab,0.0
257,galfucgalacglcgal14acglcgalgluside_hs_g,(Gal)4 (Glc)1 (GlcNac)2 (LFuc)1 (Cer)1,0.0
258,fucfucgalacglcgalacglcgal14acglcgalgluside_hs_g,(Gal)4 (Glc)1 (GlcNac)3 (LFuc)2 (Cer)1,-8.326672684688674e-17
259,galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_g,(Gal)6 (Glc)1 (GlcNac)3 (LFuc)2 (Cer)1,0.0
260,sucsal_m,Succinic Semialdehyde,-5.551115123125783e-17
261,abt_c,L-Arabinitol,0.0
262,xylu_L_c,L-Xylulose,1.2164844516785246e-17
263,abt_e,L-Arabinitol,0.0
264,h_l,Proton,-3.106560710507918e-17
265,4abut_l,4-Aminobutanoate,6.359478428238936e-17
266,4abut_e,4-Aminobutanoate,0.0
267,2maacoa_m,2-Methylacetoacetyl Coenzyme A,-0.046656075841131205
268,ppcoa_m,Propanoyl Coenzyme A,-0.04665607584113116
269,aacoa_m,Acetoacetyl Coenzyme A,-0.04665607584113132
270,coa_x,Coenzyme A,-0.04665607584113112
271,accoa_x,Acetyl Coenzyme A,-0.04665607584113058
272,aacoa_x,Acetoacetyl Coenzyme A,-0.04665607584113163
273,acac_c,Acetoacetate,-1.3625576182217092e-16
274,acac_m,Acetoacetate,-1.457167719820518e-16
275,3odcoa_x,3-Oxodecanoyl Coenzyme A,-0.04665607584113018
276,occoa_x,Octanoyl Coenzyme A (N-C8:0 Coenzyme A),-0.04665607584113072
277,3oddcoa_x,3-Oxododecanoyl Coenzyme A,-0.046656075841129706
278,dcacoa_x,Decanoyl Coenzyme A (N-C10:0 Coenzyme A),-0.04665607584113025
279,3otdcoa_x,3-Oxotetradecanoyl Coenzyme A,-0.04665607584113182
280,ddcacoa_x,Lauroyl Coenzyme A,-0.04665607584113236
281,3ohdcoa_x,3-Oxopalmitoyl Coenzyme A,-0.04665607584113135
282,tdcoa_x,Myristoyl Coenzyme A,-0.04665607584113189
283,3ohodcoa_x,3-Oxooctadecanoyl Coenzyme A,-0.04665607584113062
284,pmtcoa_x,Palmitoyl Coenzyme A (N-C16:0 Coenzyme A),-0.04665607584113116
285,3ohxccoa_x,3-Oxohexacosyl Coenzyme A,-0.04665607584113064
286,ttccoa_x,Tetracosanoyl Coenzyme A,-0.046656075841131184
287,acac_x,Acetoacetate,0.0
288,acald_m,Acetaldehyde,2.1807196427074667e-17
289,acald_c,Acetaldehyde,2.1807196427074667e-17
290,acald_r,Acetaldehyde,2.1807196427074667e-17
291,acald_x,Acetaldehyde,2.1807196427074667e-17
292,atp_m,Adenosine Triphosphate,-0.1399682275233928
293,adp_m,Adenosine Diphosphate,-0.09331215168226187
294,pi_m,Orthophosphate,5.4172529758602685e-17
295,hco3_m,Bicarbonate,0.031104050560754187
296,malcoa_m,Malonyl Coenzyme A,-0.06220810112150804
297,accoa_c,Acetyl Coenzyme A,-0.04665607584113058
298,accoa_g,Acetyl Coenzyme A,-0.04665607584113058
299,amp_m,Adenosine Monophosphate,-0.046656075841130934
300,ppi_m,Diphosphate,-0.046656075841130865
301,ppa_m,Propionate,0.0
302,accoa_n,Acetyl Coenzyme A,-0.04665607584113058
303,accoa_r,Acetyl Coenzyme A,-0.04665607584113058
304,acetone_e,Acetone,-1.166369396900452e-16
305,acetone_c,Acetone,-1.0503107212553269e-16
306,acetone_m,Acetone,-1.1449208228541357e-16
307,acgagbside_hs_c,Alpha-GalNac-Globoside,5.551115123125783e-17
308,acgagbside_hs_g,Alpha-GalNac-Globoside,5.551115123125783e-17
309,acgagbside_hs_l,Alpha-GalNac-Globoside,5.551115123125783e-17
310,acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,Type Iiia Glycolipid,0.0
311,acgalfucgalacgalfuc12gal14acglcgalgluside_hs_c,Type Iiia Glycolipid,0.0
312,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e,Type Iiiab,0.0
313,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_c,Type Iiiab,0.0
314,acgal_c,N-Acetyl-D-Galactosamine,-0.0
315,acgal1p_c,N-Acetyl-D-Galactosamine 1-Phosphate,1.5265566588595902e-16
316,itp_c,Iinosine-5'-Triphosphate,-0.09331215168226181
317,idp_c,Inosine-5'-Diphosphate,-0.04665607584113084
318,acgal_g,N-Acetyl-D-Galactosamine,-0.0
319,acgal_l,N-Acetyl-D-Galactosamine,-0.0
320,gam6p_c,D-Glucosamine-6-Phosphate,-2.065652423927326e-17
321,acgam6p_c,N-Acetyl-D-Glucosamine 6-Phosphate,5.34454988073305e-16
322,acgam_c,N-Acetyl-D-Glucosamine,1.078518263574725e-17
323,acgam1p_c,N-Acetyl-D-Glucosamine 1-Phosphate,5.34454988073305e-16
324,acgam_l,N-Acetyl-D-Glucosamine,1.078518263574725e-17
325,acgbgbside_hs_c,Beta-GalNac-Globoside,5.551115123125783e-17
326,acgbgbside_hs_g,Beta-GalNac-Globoside,5.551115123125783e-17
327,acgbgbside_hs_l,Beta-GalNac-Globoside,5.551115123125783e-17
328,acgpail_hs_c,6-(N-Acetyl-Alpha-D-Glucosaminyl)-1-Phosphatidyl-1D-Myo-Inositol,0.0
329,ac_c,Acetate,3.512630971326628e-18
330,gpail_hs_c,D-Glucosaminylphosphatidylinositol,0.0
331,acglu_m,N-Acetyl-L-Glutamate,0.0
332,ac_e,Acetate,-0.0
333,ach_e,Acetylcholine,6.938893903907228e-16
334,chol_e,Choline,1.5439038936193583e-16
335,ach_n,Acetylcholine,6.938893903907228e-16
336,ach_c,Acetylcholine,6.938893903907228e-16
337,cit_c,Citrate,1.532784423851618e-17
338,oaa_c,Oxaloacetate,1.1605867564512512e-17
339,acn13acngalgbside_hs_c,"Sialyl-(1,3)-Sialyl-(2,6)-Galactosylgloboside",0.0
340,acn13acngalgbside_hs_e,"Sialyl-(1,3)-Sialyl-(2,6)-Galactosylgloboside",0.0
341,acn13acngalgbside_hs_g,"Sialyl-(1,3)-Sialyl-(2,6)-Galactosylgloboside",0.0
342,acn23acngalgbside_hs_c,"Salyl-(2,3)-Sialyl-(2,6)-Galactosylgloboside",0.0
343,acn23acngalgbside_hs_e,"Salyl-(2,3)-Sialyl-(2,6)-Galactosylgloboside",0.0
344,acn23acngalgbside_hs_g,"Salyl-(2,3)-Sialyl-(2,6)-Galactosylgloboside",0.0
345,acnacngal14acglcgalgluside_hs_e,"3',8'-LD1",0.0
346,acnacngal14acglcgalgluside_hs_c,"3',8'-LD1",0.0
347,acnacngal14acglcgalgluside_hs_g,"3',8'-LD1",0.0
348,acnacngalgbside_hs_c,Disialyl-Galactosylgloboside,0.0
349,acnacngalgbside_hs_e,Disialyl-Galactosylgloboside,0.0
350,acnacngalgbside_hs_g,Disialyl-Galactosylgloboside,0.0
351,acmanap_c,N-Acetyl-D-Mannosamine 6-Phosphate,0.0
352,pep_c,Phosphoenolpyruvate,-0.04665607584113093
353,acnamp_c,N-Acetylneuraminate 9-Phosphate,5.96560798565406e-18
354,man6p_c,D-Mannose 6-Phosphate,-2.5546407064193654e-18
355,kdnp_c,2-Keto-3-Deoxy-D-Glycero-D-Galactononic Acid 9-Phosphate,-5.0809224399718005e-17
356,acnam_c,N-Acetylneuraminate,5.677483238537207e-17
357,acnam_l,N-Acetylneuraminate,1.078518263574725e-17
358,acnam_n,N-Acetylneuraminate,5.677483238537207e-17
359,acngalacglcgal14acglcgalgluside_hs_e,Vi3Neuac-Nlc6Cer,0.0
360,acngalacglcgal14acglcgalgluside_hs_c,Vi3Neuac-Nlc6Cer,0.0
361,acngalacglcgal14acglcgalgluside_hs_g,Vi3Neuac-Nlc6Cer,0.0
362,acmana_c,N-Acetyl-D-Mannosamine,1.078518263574725e-17
363,2mbcoa_m,2-Methylbutanoyl Coenzyme A,-0.04665607584113117
364,fad_m,Flavin Adenine Dinucleotide Oxidized,2.9798815928616516e-17
365,2mb2coa_m,2-Methylcrotonoyl Coenzyme A,-0.04665607584113117
366,fadh2_m,Flavin Adenine Dinucleotide Reduced,0.0
367,btcoa_m,Butanoyl Coenzyme A,-0.04665607584113067
368,ivcoa_m,Isovaleryl Coenzyme A,-0.04665607584113117
369,3mb2coa_m,3-Methylbut-2-Enoyl Coenzyme A,-0.046656075841131156
370,ibcoa_m,Isobutyryl Coenzyme A,-0.04665607584113116
371,2mp2coa_m,2-Methylprop-2-Enoyl Coenzyme A,-0.04665607584113114
372,o2_x,Oxygen,8.326672684688674e-17
373,h2o2_x,Hydrogen Peroxide,-1.4860475779813994e-16
374,hdd2coa_x,Trans-Hexadec-2-Enoyl Coenzyme A,-0.04665607584113122
375,acorn_c,N(2)-Acetyl-L-Ornithine,0.0
376,orn_c,Ornithine,1.0156129230263477e-16
377,cit_m,Citrate,6.950037399711887e-17
378,icit_m,Isocitric Acid,6.950037399711887e-17
379,fad_x,Flavin Adenine Dinucleotide Oxidized,-0.04665607584113085
380,fadh2_x,Flavin Adenine Dinucleotide Reduced,-0.046656075841130906
381,dhcholoylcoa_x,"3Alpha,7Alpha-Dihydroxy-5Beta-Cholest-24-Enoyl Coenzyme A",-0.04665607584113109
382,thcholoylcoa_x,"3Alpha,7Alpha,24-Trihydroxy-5Beta-Cholestanoyl Coenzyme A",-0.046656075841131274
383,h2o_x,Water,-1.902381212215833e-16
384,cholcoas_x,"(25S)-3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestan-26-Oyl Coenzyme A",-0.09331215168226205
385,cholcoads_x,"3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholest-24-Enoyl Coenzyme A",-0.09331215168226152
386,fmn_c,Flavin Mononucleotide,6.245004513516506e-17
387,ribflv_c,Riboflavin,0.0
388,acrn_c,O-Acetylcarnitine,5.828670879282072e-16
389,acrn_m,O-Acetylcarnitine,-6.245004513516506e-17
390,amp_c,Adenosine Monophosphate,-0.04665607584113083
391,ppi_c,Diphosphate,-0.046656075841130865
